Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1604114735777,9,1010123456031,76,,1,0,2,1,1,,5.42308,26,0,0.0055261,8,0,0.1,,4.61111,18,0,0.1,7,0,0,7.90864,31,,7,22,,0,0,0,2.38889
1604114736027,9,1010123456031,76,,1,0,2,1,1,,5.91781,73,8123,0.0202088,29,0,5,,5.1,10,0,0.1,4,0,0,12.487,31,,0,60,,0,0,0,1
1604114736277,9,1010123456031,76,,1,0,2,1,1,,6,178,36925,0.050688,72,0,5,,8.45455,11,0,0.1,4,0,0,8.46524,31,,172,140,,0,0,0,2.09091
1604114736527,9,1010123456031,76,,1,0,2,1,1,,4.91566,249,65583,0.057344,98,0,4,,0.1,3,0,0.1,1,0,0,12.5298,31,,178,198,,0,0,0,1
1604114736777,9,1010123456031,76,,1,0,2,1,1,,4,197,93333,0.0384,80,0,4,,6.75,12,0,0.1,5,0,0,9.74285,0,,165,160,,0,0,0,1.58333
1604114737027,9,1010123456031,76,,1,0,2,1,1,,4,245,122339,0.0456,95,0,4,,5.15,20,0,0.1,9,0,0,10.1882,31,,164,192,,0,0,0,1
1604114737277,9,1010123456031,76,,1,0,2,1,1,,4.0404,198,151511,0.0385542,80,0,5.5,,3.72727,22,0,0.1,9,0,0,7.09674,31,,143,156,,0,0,0,1
1604114737527,9,1010123456031,76,,1,0,2,1,1,,4.99034,207,180289,0.052224,80,0,3.66667,,0,0,0,0,0,0,0,0,0,,165,168,,0,0,0,0
1604114737777,9,1010123456031,76,,1,0,2,1,1,,3.12308,195,183876,0.0328032,83,0,4,,0,0,0,0,0,0,0,0,0,,161,162,,0,0,0,0
1604114738027,9,1010123456031,76,,1,0,2,1,1,,4,206,184395,0.04128,86,0,3,,4.7037,27,0,0.1,12,16.6667,0,7.79057,31,,172,194,,0,0,0,2.44444
1604114738277,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,162,184,,0,0,0,0
1604114738527,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,164,178,,0,0,0,0
1604114738777,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,160,182,,0,0,0,0
1604114739027,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,174,182,,0,0,0,0
1604114739277,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,162,164,,0,0,0,0
1604114739527,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,166,146,,0,0,0,0
1604114739777,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,168,154,,0,0,0,0
1604114740027,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,4,3,0,0.1,1,0,0,11.3748,31,,166,164,,0,0,0,1
1604114740277,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,165,158,,0,0,0,0
1604114740527,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,182,190,,0,0,0,0
1604114740777,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,164,156,,0,0,0,0
1604114741027,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,177,138,,0,0,0,0
1604114741277,9,1010123456031,76,,1,0,2,1,1,,0,0,184395,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,164,154,,0,0,0,0
