time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached
0,0,0,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,0,1,3400,-84,84,-498,1.3,4.2,0.32,2912.000000,0,0.0,0.0,33,224,0,0.0,0.0,0.0,1.0
1494,0,1,3400,-84,84,-536,3.0,4.3,0.75,0.0,0.0,27,0.0,33,0.0,0.0,0.0,0.0,0.0,1.0
1743,0,1,3400,-84,84,-540,3.0,4.3,0.75,0.0,0.0,27,0.34,32,0.0,80,0.0,0.0,0.0,1.0
1992,0,1,3400,-83,83,-537,3.0,3.6,0.75,0.0,0.0,27,0.15,32,2688.000000,59,0.0,0.0,0.0,1.0
2241,0,1,3400,-83,83,-540,3.0,3.5,0.75,0.0,0.0,27,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
2490,0,1,3400,-83,83,-548,3.0,3.5,0.75,0.0,0.0,27,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
2739,0,1,3400,-83,83,-537,3.0,3.5,0.75,0.0,0.0,27,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
2988,0,1,3400,-83,83,-530,3.0,3.3,0.75,0.0,0.0,27,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
3237,0,1,3400,-83,83,-532,3.0,3.4,0.75,0.0,0.0,27,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
3486,0,1,3400,-83,83,-532,3.0,3.5,0.75,0.0,0.0,27,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
3735,0,1,3400,-83,83,-528,3.0,3.6,0.75,0.0,0.0,27,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
3984,0,1,3400,-83,83,-540,3.0,3.8,0.75,0.0,0.0,27,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
4233,0,1,3400,-83,83,-538,3.1,3.3,0.78,0.0,100.000000,27,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
4482,0,1,3400,-83,83,-538,9.3,3.3,2.5,0.0,0.0,27,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
4731,0,1,3400,-83,83,-525,1.1,3.3,2.0,0.0,0.0,0.0,0.0,32,448,50,0.0,0.0,0.0,1.0
4980,0,1,3400,-83,83,-528,1.5,3.3,1.8,0.0,0.0,0.0,0.0,32,223,62,0.0,0.0,0.0,1.0
5229,0,1,3400,-83,83,-536,1.1,3.2,1.8,0.0,0.0,0.0,0.0,32,448,29,0.0,0.0,0.0,1.0
5478,0,1,3400,-83,83,-540,1.4,3.1,2.1,0.0,0.0,27,0.0,32,0.0,100.000000,0.0,0.0,0.0,1.0
5727,0,1,3400,-83,83,-548,1.5,3.6,2.2,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
5976,0,1,3400,-83,83,-534,1.5,3.3,2.2,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
6225,0,1,3400,-83,83,-533,1.5,3.2,2.2,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
6474,0,1,3400,-83,83,-535,3.3,3.5,2.7,0.0,100.000000,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
6723,0,1,3400,-83,83,-528,8.0,3.5,4.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,1.0
6972,0,1,3400,-84,84,-531,4.8,3.9,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7221,0,1,3400,-83,83,-540,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7470,0,1,3400,-83,83,-532,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7719,0,1,3400,-84,84,-529,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7968,0,1,3400,-84,84,-531,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8217,0,1,3400,-84,84,-529,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466,0,1,3400,-84,84,-486,0.68,3.7,0.34,565,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8715,0,1,3400,-84,84,-537,2.4,4.1,0.72,2336.000000,0,0.0,7.2,33,224,67,0.0,0.0,0.0,1.0
8964,0,1,3400,-84,84,-540,2.5,3.9,0.75,0.0,0.0,27,15,33,0.0,0.0,0.0,0.0,0.0,1.0
9213,0,1,3400,-84,84,-537,2.5,3.9,0.75,0.0,0.0,27,15,33,0.0,0.0,0.0,0.0,0.0,1.0
9462,0,1,3400,-84,84,-524,2.5,3.9,0.75,0.0,0.0,27,15,33,0.0,0.0,0.0,0.0,0.0,1.0
9711,0,1,3400,-84,84,-530,2.5,3.7,0.75,0.0,0.0,27,15,33,0.0,0.0,0.0,0.0,0.0,1.0
9960,0,1,3400,-83,83,-533,2.5,3.4,0.75,0.0,0.0,27,15,33,0.0,0.0,0.0,0.0,0.0,1.0
10209,0,1,3400,-83,83,-538,2.5,3.4,0.75,0.0,0.0,27,15,33,0.0,0.0,0.0,0.0,0.0,1.0
10458,0,1,3400,-83,83,-541,2.5,3.3,0.75,0.0,0.0,27,15,33,0.0,0.0,0.0,0.0,0.0,1.0
10707,0,1,3400,-83,83,-532,2.5,3.3,0.75,0.0,0.0,27,15,33,0.0,0.0,0.0,0.0,0.0,1.0
10956,0,1,3400,-83,83,-543,2.5,3.4,0.75,0.0,0.0,27,15,33,0.0,0.0,0.0,0.0,0.0,1.0
