time,nof_ue,dl_brate,ul_brate
1602394178215,0,0.0,0.0
1602394178465,0,0.0,0.0
1602394178715,0,0.0,0.0
1602394178965,0,0.0,0.0
1602394179215,0,0.0,0.0
1602394179465,0,0.0,0.0
1602394179715,0,0.0,0.0
1602394179965,0,0.0,0.0
1602394180215,0,0.0,0.0
1602394180465,0,0.0,0.0
1602394180715,0,0.0,0.0
1602394180965,0,0.0,0.0
1602394181215,0,0.0,0.0
1602394181465,0,0.0,0.0
1602394181715,0,0.0,0.0
1602394181965,0,0.0,0.0
1602394182215,0,0.0,0.0
1602394182465,0,0.0,0.0
1602394182715,0,0.0,0.0
1602394182965,0,0.0,0.0
1602394183215,0,0.0,0.0
1602394183465,0,0.0,0.0
1602394183715,0,0.0,0.0
1602394183965,0,0.0,0.0
1602394184215,0,0.0,0.0
1602394184465,0,0.0,0.0
1602394184715,0,0.0,0.0
1602394184965,0,0.0,0.0
1602394185215,0,0.0,0.0
1602394185465,0,0.0,0.0
1602394185715,0,0.0,0.0
1602394185965,0,0.0,0.0
1602394186215,0,0.0,0.0
1602394186465,0,0.0,0.0
1602394186715,0,0.0,0.0
1602394186965,0,0.0,0.0
1602394187215,0,0.0,0.0
1602394187465,0,0.0,0.0
1602394187715,0,0.0,0.0
1602394187965,0,0.0,0.0
1602394188215,0,0.0,0.0
1602394188465,0,0.0,0.0
1602394188715,0,0.0,0.0
1602394188965,0,0.0,0.0
1602394189215,0,0.0,0.0
1602394189465,0,0.0,0.0
1602394189715,0,0.0,0.0
1602394189965,0,0.0,0.0
1602394190215,0,0.0,0.0
1602394190465,0,0.0,0.0
1602394190715,0,0.0,0.0
1602394190965,0,0.0,0.0
1602394191215,0,0.0,0.0
1602394191465,0,0.0,0.0
1602394191715,0,0.0,0.0
1602394191965,0,0.0,0.0
1602394192215,0,0.0,0.0
1602394192465,0,0.0,0.0
1602394192715,0,0.0,0.0
1602394192965,0,0.0,0.0
1602394193215,0,0.0,0.0
1602394193465,0,0.0,0.0
1602394193715,0,0.0,0.0
1602394193965,0,0.0,0.0
1602394194215,0,0.0,0.0
1602394194465,0,0.0,0.0
1602394194715,0,0.0,0.0
1602394194965,0,0.0,0.0
1602394195215,0,0.0,0.0
1602394195465,0,0.0,0.0
1602394195715,0,0.0,0.0
1602394195965,0,0.0,0.0
1602394196215,0,0.0,0.0
1602394196465,0,0.0,0.0
1602394196715,0,0.0,0.0
1602394196965,0,0.0,0.0
1602394197215,0,0.0,0.0
1602394197465,0,0.0,0.0
1602394197715,0,0.0,0.0
