time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached
0,0,0,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996,0,1,3400,-60,60,904,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,0,1,3400,-60,60,990,2.1,28,0.41,2912.000000,0,0.0,0.0,33,224,0,0.0,0.0,1.0,1.0
1494,0,1,3400,-60,60,990,2.5,28,0.50,224,0,27,0.14,0.0,7200.000000,0,0.0,0.0,0.0,1.0
1743,0,1,3400,-60,60,991,1.7,28,0.50,1632.000000,0,27,0.0,24,2464.000000,0,0.0,0.0,0.0,1.0
1992,0,1,3400,-60,60,989,2.5,28,0.50,0.0,0.0,27,0.0,24,0.0,0.0,0.0,0.0,0.0,1.0
2241,0,1,3400,-60,60,990,2.5,28,0.50,0.0,0.0,27,0.0,24,0.0,0.0,0.0,0.0,0.0,1.0
2490,0,1,3400,-60,60,991,2.5,28,0.50,0.0,0.0,27,0.0,24,0.0,0.0,0.0,0.0,0.0,1.0
2739,0,1,3400,-60,60,992,2.0,28,0.50,224,0,27,0.18,0.0,4224.000000,27,0.0,0.0,0.0,1.0
2988,0,1,3400,-60,60,992,1.6,27,0.50,1024.000000,0,27,0.0,21,0.0,0.0,0.0,0.0,0.0,1.0
3237,0,1,3400,-61,61,991,2.5,27,0.50,2304.000000,0,27,0.0,12,4032.000000,64,0.0,0.0,0.0,1.0
3486,0,1,3400,-61,61,992,4.5,27,0.50,0.0,0.0,27,0.0,9.0,1568.000000,71,0.0,0.0,0.0,1.0
3735,0,1,3400,-61,61,992,4.5,27,0.50,0.0,0.0,27,0.0,31,0.0,80,0.0,0.0,0.0,1.0
3984,0,1,3400,-61,61,991,4.4,27,0.49,0.0,0.0,27,0.0,0.0,0.0,80,0.0,0.0,0.0,1.0
4233,0,1,3400,-61,61,991,3.9,27,0.92,0.0,100.000000,27,0.0,0.0,691,60,0.0,0.0,0.0,1.0
4482,0,1,3400,-61,61,993,0.0,27,0.37,0.0,100.000000,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4731,0,1,3400,-61,61,992,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4980,0,1,3400,-61,61,991,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5229,0,1,3400,-61,61,990,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5478,0,1,3400,-60,60,990,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5727,0,1,3400,-60,60,990,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5976,0,1,3400,-60,60,989,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6225,0,1,3400,-60,60,991,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6474,0,1,3400,-59,59,998,0.77,27,0.14,1888.000000,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
6723,0,1,3400,-59,59,991,1.5,28,0.25,1248.000000,0,0.0,0.0,0.0,2816.000000,60,0.0,0.0,0.0,1.0
6972,0,1,3400,-59,59,991,1.2,28,0.25,3488.000000,0,27,0.0,34,5760.000000,36,0.0,0.0,0.0,1.0
7221,0,1,3400,-59,59,992,2.2,29,0.25,5280.000000,0,27,0.0,0.0,8960.000000,6,0.0,0.0,0.0,1.0
7470,0,1,3400,-59,59,992,3.4,28,0.25,2368.000000,0,27,0.0,2.0,4160.000000,38,0.0,0.0,0.0,1.0
7719,0,1,3400,-59,59,990,4.9,28,0.43,11776.000000,0,27,0.52,0.0,20928.000000,48,0.0,0.0,0.0,1.0
7968,0,1,3400,-59,59,989,12,28,0.50,20928.000000,0,27,0.48,142,50432.000000,42,0.0,0.0,0.0,1.0
8217,0,1,3400,-59,59,990,19,29,0.50,5312.000000,0,27,0.0,0.0,6752.000000,50,0.0,0.0,0.0,1.0
8466,0,1,3400,-58,58,991,15,29,0.50,13248.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8715,0,1,3400,-58,58,991,5.0,29,0.50,19168.000000,0,27,0.0,186,0.0,0.0,0.0,0.0,0.0,1.0
8964,0,1,3400,-58,58,991,12,29,0.50,26592.000000,0,27,0.0,0.0,12768.000000,55,0.0,0.0,0.0,1.0
9213,0,1,3400,-59,59,991,5.5,29,0.50,11296.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9462,0,1,3400,-59,59,990,7.1,28,0.56,27680.000000,4,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9711,0,1,3400,-59,59,991,8.7,28,0.78,26560.000000,0,27,0.016,0.0,21024.000000,13,0.0,0.0,0.0,1.0
9960,0,1,3400,-59,59,990,14,28,0.50,21216.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10209,0,1,3400,-60,60,991,16,28,0.50,10624.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10458,0,1,3400,-60,60,991,16,28,0.50,5312.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10707,0,1,3400,-60,60,990,17,27,0.50,21856.000000,0,27,0.0,0.0,7648.000000,58,0.0,0.0,0.0,1.0
10956,0,1,3400,-60,60,990,8.0,28,0.50,15968.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11205,0,1,3400,-60,60,991,17,28,0.50,44192.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11454,0,1,3400,-60,60,991,2.6,28,0.50,5312.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
