Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1602356656635,9,1010123456003,81,,1,2,4,1,2,,8.51064,94,16138,0.089984,39,0,5.33333,,6.55556,9,0,0.1,4,0,0,14.3678,31,,6,152,,0,0,0,1
1602356656885,9,1010123456003,81,,1,2,4,1,2,,13.014,500,36214,0.336225,193,0,7.66667,,3.36029,136,0,0.18008,57,10.5263,0,7.1093,31,,500,500,,0,0,0,2.26471
1602356657135,9,1010123456003,81,,1,2,4,1,2,,12.8726,416,58189,0.28352,171,0,7.33333,,0,0,0,0,0,0,0,0,0,,351,340,,0,0,0,0
1602356657385,9,1010123456003,81,,1,2,4,1,2,,16.0878,262,81177,0.239936,104,0,9,,0,0,0,0,0,0,0,0,0,,250,208,,0,0,0,0
1602356657635,9,1010123456003,81,,1,2,4,1,2,,14.5025,197,105021,0.161056,83,0,7.33333,,0,0,0,0,0,0,0,0,0,,250,248,,0,0,0,0
1602356657885,9,1010123456003,81,,1,2,4,1,2,,14.7308,234,129694,0.188224,92,0,6.83333,,1.87879,33,0,0.1,14,0,0,6.07427,31,,250,230,,0,0,0,1.09091
1602356658135,9,1010123456003,81,,1,2,4,1,2,,15.9585,193,154423,0.18272,80,0,7.83333,,0,0,0,0,0,0,0,0,0,,250,202,,0,0,0,0
1602356658385,9,1010123456003,81,,1,2,4,1,2,,12.3603,272,179491,0.176768,110,0,7,,0,0,0,0,0,0,0,0,0,,250,224,,0,0,0,0
1602356658635,9,1010123456003,81,,1,2,4,1,2,,13.5756,311,183901,0.236832,123,0,7.6,,4.94286,35,0,0.1,14,0,0,9.27552,31,,250,248,,0,0,0,1.05714
1602356658885,9,1010123456003,81,,1,2,4,1,2,,16.7218,284,183495,0.307808,113,0,8.83333,,0,0,0,0,0,0,0,0,0,,250,226,,0,0,0,0
1602356659135,10,1010123456003,81,,1,2,4,1,2,,13.3478,253,183760,0.181056,100,0,8.16667,,0,0,0,0,0,0,0,0,0,,250,204,,0,0,0,0
1602356659385,9,1010123456003,81,,1,2,4,1,2,,13.9718,213,183304,0.168224,87,0,8.25,,0,0,0,0,0,0,0,0,0,,250,168,,0,0,0,0
1602356659635,9,1010123456003,81,,1,2,4,1,2,,11.1224,245,183084,0.145984,96,0,7.83333,,4,3,0,0.1,1,0,0,7.56016,31,,250,200,,0,0,0,1
1602356659885,9,1010123456003,81,,1,2,4,1,2,,15.5179,307,183763,0.278112,125,0,8.2,,1.825,40,0,0.1,16,0,0,6.36554,31,,250,250,,0,0,0,1.05
1602356660135,9,1010123456003,81,,1,2,4,1,2,,14.1281,281,184609,0.21328,111,0,8.16667,,0,0,0,0,0,0,0,0,0,,250,226,,0,0,0,0
1602356660385,9,1010123456003,81,,1,2,4,1,2,,12.1285,249,184191,0.163488,100,0,6.2,,0,0,0,0,0,0,0,0,0,,250,234,,0,0,0,0
1602356660635,9,1010123456003,81,,1,2,4,1,2,,21.4903,257,183626,0.394144,101,0,9.8,,2,3,0,0.1,1,0,0,4.0442,31,,250,230,,0,0,0,1
1602356660885,9,1010123456003,81,,1,2,4,1,2,,16.0673,297,183940,0.284128,119,0,8.33333,,13,16,0,0.1,6,66.6667,0,6.99984,31,,250,240,,0,0,0,7.875
1602356661135,10,1010123456003,81,,1,2,4,1,2,,16.5223,224,184246,0.234432,90,0,8.33333,,0,0,0,0,0,0,0,0,0,,250,200,,0,0,0,0
1602356661385,10,1010123456003,81,,1,2,4,1,2,,15.4348,207,183239,0.177606,82,0,6.8,,0,0,0,0,0,0,0,0,0,,250,190,,0,0,0,0
1602356661635,10,1010123456003,81,,1,2,4,1,2,,14.0217,230,183639,0.184096,95,0,8.25,,0,2,0,0.1,1,0,0,0,31,,250,190,,0,0,0,0
1602356661885,12,1010123456003,81,,1,2,4,1,2,,14.0452,221,184274,0.176704,91,0,7.75,,4.12,25,0,0.1,10,0,0,8.20479,31,,250,188,,0,0,0,1
1602356662135,11,1010123456003,81,,1,2,4,1,2,,15.5882,17,183807,0.020896,9,0,7.25,,0,0,0,0,0,0,0,0,0,,250,198,,0,0,0,0
1602356662385,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,8.25,,0,0,0,0,0,0,0,0,0,,250,168,,0,0,0,0
1602356662635,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.8,,0,0,0,0,0,0,0,0,0,,249,152,,0,0,0,0
1602356662885,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,8,,0,0,0,0,0,0,0,0,0,,250,206,,0,0,0,0
1602356663135,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,8.8,,0,0,0,0,0,0,0,0,0,,251,188,,0,0,0,0
1602356663385,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.8,,0,0,0,0,0,0,0,0,0,,249,170,,0,0,0,0
1602356663635,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,6.2,,0,0,0,0,0,0,0,0,0,,251,188,,0,0,0,0
1602356663885,12,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.2,,0,0,0,0,0,0,0,0,0,,250,180,,0,0,0,0
1602356664135,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.66667,,0,0,0,0,0,0,0,0,0,,250,166,,0,0,0,0
1602356664385,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,8.2,,0,0,0,0,0,0,0,0,0,,250,232,,0,0,0,0
1602356664635,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,10.25,,0,0,0,0,0,0,0,0,0,,250,188,,0,0,0,0
1602356664885,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,8,,0,0,0,0,0,0,0,0,0,,250,166,,0,0,0,0
1602356665135,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,8.6,,0,0,0,0,0,0,0,0,0,,250,170,,0,0,0,0
1602356665385,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.5,,0,0,0,0,0,0,0,0,0,,250,198,,0,0,0,0
1602356665635,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,6.66667,,0,0,0,0,0,0,0,0,0,,250,182,,0,0,0,0
1602356665885,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,10.5,,0,0,0,0,0,0,0,0,0,,250,174,,0,0,0,0
1602356666135,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,8.5,,0,0,0,0,0,0,0,0,0,,250,174,,0,0,0,0
1602356666385,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,8,,0,0,0,0,0,0,0,0,0,,250,162,,0,0,0,0
1602356666635,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,8,,0,0,0,0,0,0,0,0,0,,250,174,,0,0,0,0
1602356666885,11,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.6,,0,0,0,0,0,0,0,0,0,,250,174,,0,0,0,0
1602356667135,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,9,,0,0,0,0,0,0,0,0,0,,250,172,,0,0,0,0
1602356667385,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,9.4,,0,0,0,0,0,0,0,0,0,,250,196,,0,0,0,0
1602356667635,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.5,,0,0,0,0,0,0,0,0,0,,250,200,,0,0,0,0
1602356667885,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,8.5,,0,0,0,0,0,0,0,0,0,,250,206,,0,0,0,0
1602356668135,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,8.33333,,0,0,0,0,0,0,0,0,0,,250,204,,0,0,0,0
1602356668385,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7,,0,0,0,0,0,0,0,0,0,,250,216,,0,0,0,0
1602356668635,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.8,,0,0,0,0,0,0,0,0,0,,250,228,,0,0,0,0
1602356668885,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.8,,0,0,0,0,0,0,0,0,0,,250,200,,0,0,0,0
1602356669135,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.6,,0,0,0,0,0,0,0,0,0,,249,220,,0,0,0,0
1602356669385,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,9,,0,0,0,0,0,0,0,0,0,,250,190,,0,0,0,0
1602356669635,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,9,,0,0,0,0,0,0,0,0,0,,250,216,,0,0,0,0
1602356669885,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,9,,0,0,0,0,0,0,0,0,0,,250,222,,0,0,0,0
1602356670135,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,9,,0,0,0,0,0,0,0,0,0,,251,198,,0,0,0,0
1602356670385,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.75,,0,0,0,0,0,0,0,0,0,,250,184,,0,0,0,0
1602356670635,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,9.57143,,0,0,0,0,0,0,0,0,0,,250,178,,0,0,0,0
1602356670885,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.16667,,0,0,0,0,0,0,0,0,0,,250,196,,0,0,0,0
1602356671135,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7,,4,3,0,0.1,1,0,0,15.7898,31,,250,214,,0,0,0,1
1602356671385,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,9,,0,0,0,0,0,0,0,0,0,,250,202,,0,0,0,0
1602356671635,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,9,,0,0,0,0,0,0,0,0,0,,250,216,,0,0,0,0
1602356671885,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,9,,0,0,0,0,0,0,0,0,0,,250,206,,0,0,0,0
1602356672135,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,9.83333,,0,0,0,0,0,0,0,0,0,,250,216,,0,0,0,0
1602356672385,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,6.83333,,0,0,0,0,0,0,0,0,0,,250,198,,0,0,0,0
1602356672635,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,250,214,,0,0,0,0
1602356672885,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,10,,0,0,0,0,0,0,0,0,0,,250,180,,0,0,0,0
1602356673135,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,7.4,,0,0,0,0,0,0,0,0,0,,250,198,,0,0,0,0
1602356673385,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,10,,0,0,0,0,0,0,0,0,0,,250,216,,0,0,0,0
1602356673635,10,1010123456003,81,,1,2,4,1,2,,0,0,183807,0,0,0,10,,0,0,0,0,0,0,0,0,0,,250,210,,0,0,0,0
