time,nof_ue,dl_brate,ul_brate
1602286857947,0,0.0,0.0
1602286858197,0,0.0,0.0
1602286858447,0,0.0,0.0
1602286858697,0,0.0,0.0
1602286858947,0,0.0,0.0
1602286859197,0,0.0,0.0
1602286859447,0,0.0,0.0
1602286859697,0,0.0,0.0
1602286859947,0,0.0,0.0
1602286860197,0,0.0,0.0
1602286860447,2,1910.447754,668
1602286860697,2,0.0,17056.000000
1602286860947,2,9248.000000,116096.000000
1602286861197,2,12640.000000,174656.000000
1602286861447,1,26400.000000,52992.000000
1602286861697,1,10624.000000,23488.000000
1602286861947,1,27840.000000,0.0
1602286862197,1,39072.000000,23488.000000
1602286862447,1,17152.000000,0.0
1602286862697,1,0.0,0.0
1602286862947,1,21184.000000,0.0
1602286863197,1,27136.000000,23488.000000
1602286863447,1,5920.000000,0.0
1602286863697,1,28384.000000,0.0
1602286863947,1,16544.000000,0.0
1602286864197,1,11232.000000,0.0
1602286864447,1,22464.000000,23488.000000
1602286864697,1,10816.000000,0.0
1602286864947,1,21216.000000,0.0
1602286865197,1,17152.000000,0.0
1602286865447,1,21824.000000,23488.000000
1602286865697,1,10624.000000,0.0
1602286865947,1,21216.000000,0.0
1602286866197,1,10677.291016,0.0
1602286866447,1,27776.000000,23488.000000
1602286866697,1,15936.000000,0.0
1602286866947,1,15936.000000,0.0
1602286867197,1,5920.000000,0.0
1602286867447,1,11277.108398,23582.330078
1602286867697,1,5312.000000,0.0
1602286867947,1,22144.000000,0.0
1602286868197,1,11232.000000,0.0
1602286868447,1,21344.000000,23488.000000
1602286868697,1,15936.000000,0.0
1602286868947,1,10624.000000,0.0
1602286869197,1,10624.000000,0.0
1602286869447,1,5312.000000,23488.000000
1602286869697,1,5312.000000,0.0
1602286869947,1,16544.000000,0.0
1602286870197,1,22016.000000,0.0
1602286870447,1,11232.000000,23488.000000
1602286870697,1,11200.000000,0.0
1602286870947,1,11232.000000,0.0
1602286871197,1,5312.000000,0.0
1602286871447,1,5312.000000,23488.000000
1602286871697,1,15936.000000,0.0
1602286871947,1,5312.000000,0.0
1602286872197,1,0.0,0.0
1602286872447,1,21280.000000,23488.000000
1602286872697,1,21768.923828,0.0
1602286872947,1,31872.000000,0.0
1602286873197,1,16544.000000,0.0
1602286873447,1,0.0,0.0
1602286873697,1,10624.000000,17056.000000
1602286873947,1,16610.441406,6457.831543
1602286874197,1,5312.000000,0.0
1602286874447,1,15936.000000,23488.000000
1602286874697,1,10624.000000,0.0
1602286874947,1,15936.000000,0.0
1602286875197,1,5920.000000,0.0
1602286875447,1,21888.000000,23488.000000
1602286875697,1,11232.000000,0.0
1602286875947,1,5408.000000,0.0
1602286876197,1,0.0,0.0
1602286876447,1,0.0,0.0
1602286876697,1,11232.000000,23488.000000
1602286876947,1,21856.000000,0.0
1602286877197,1,15936.000000,0.0
1602286877447,1,15936.000000,23488.000000
1602286877697,1,0.0,0.0
1602286877947,1,15936.000000,0.0
1602286878197,1,5312.000000,0.0
1602286878447,1,5344.000000,23488.000000
1602286878697,1,16544.000000,0.0
1602286878947,1,5312.000000,0.0
1602286879197,1,16544.000000,0.0
1602286879447,1,5290.836426,23394.421875
1602286879697,1,5312.000000,0.0
1602286879947,1,15936.000000,0.0
1602286880197,1,15839.357422,23582.330078
1602286880447,1,10592.000000,0.0
1602286880697,1,10688.000000,0.0
1602286880947,1,11232.000000,0.0
1602286881197,1,5312.000000,0.0
1602286881447,1,10624.000000,23488.000000
1602286881697,1,11232.000000,0.0
1602286881947,1,17152.000000,0.0
1602286882197,1,31712.000000,23488.000000
1602286882447,1,10624.000000,0.0
1602286882697,1,16544.000000,0.0
1602286882947,1,11232.000000,0.0
1602286883197,1,16544.000000,0.0
1602286883447,1,11200.000000,23488.000000
1602286883697,2,10624.000000,0.0
1602286883947,4,39154.976562,3877.378662
1602286884198,9,16488.986328,1275.965820
1602286884447,9,23615.492188,246243.890625
1602286884697,10,32745.203125,273902.000000
1602286884947,10,88096.000000,445216.000000
1602286885197,10,852480.000000,430592.000000
1602286885447,10,2063232.000000,208352.000000
1602286885697,10,2433792.000000,106912.000000
1602286885947,10,2715060.000000,257402.390625
1602286886197,10,3115245.000000,15710.843750
