time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached
0,0,0,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,0,1,3400,-59,59,-469,1.8,25,0.38,2912.000000,0,0.0,0.0,33,224,0,0.0,0.0,0.0,1.0
1494,0,1,3400,-59,59,-468,2.5,25,0.50,223,0,27,1.2,0.0,13195.218750,0,0.0,0.0,0.0,1.0
1743,0,1,3400,-59,59,-470,5.1,25,0.50,1760.000000,0,27,12,0.0,0.0,80,0.0,0.0,0.0,1.0
1992,0,1,3400,-59,59,-472,7.2,25,0.50,2868.525879,0,27,9.7,0.0,14884.461914,20,0.0,0.0,0.0,1.0
2241,0,1,3400,-59,59,-470,4.0,23,0.50,0.0,0.0,27,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2490,0,1,3400,-59,59,-472,4.3,22,0.49,1056.000000,0,27,4.6,0.0,3968.000000,0,0.0,0.0,0.0,1.0
2739,0,1,3400,-59,59,-472,2.0,22,0.50,5450.199219,0,27,0.0,0.0,10613.545898,0,0.0,0.0,0.0,1.0
2988,0,1,3400,-59,59,-469,16,22,0.50,486361.437500,0,27,0.90,0.0,218570.281250,0.9,0.0,0.0,0.0,1.0
3237,0,1,3400,-59,59,-465,18,21,0.50,470603.187500,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3486,0,1,3400,-59,59,-468,19,21,0.50,506538.156250,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3735,0,1,3400,-59,59,-471,19,21,0.50,478980.093750,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3984,0,1,3400,-59,59,-472,16,21,0.50,416192.000000,0,27,0.0,0.0,33152.000000,0,0.0,0.0,0.0,1.0
4233,0,1,3400,-59,59,-470,18,21,0.50,478119.531250,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4482,0,1,3400,-59,59,-473,14,22,0.50,328096.000000,0,27,0.0,0.0,1568.000000,0,0.0,0.0,0.0,1.0
4731,0,1,3400,-59,59,-471,20,22,0.64,522294.812500,0.6,27,0.0,0.0,1561.752930,0,0.0,0.0,0.0,1.0
4980,0,1,3400,-59,59,-470,14,21,0.50,328828.687500,0,27,0.0080,0.0,26358.566406,0,0.0,0.0,0.0,1.0
5229,0,1,3400,-59,59,-467,19,22,0.50,457632.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5478,0,1,3400,-59,59,-468,18,21,0.50,457880.468750,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5727,0,1,3400,-59,59,-470,18,22,0.50,467872.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5976,0,1,3400,-59,59,-468,18,21,0.50,487011.937500,0,27,0.016,0.0,27442.230469,0,0.0,0.0,0.0,1.0
6225,0,1,3400,-59,59,-469,16,21,0.50,436672.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6474,0,1,3400,-59,59,-471,19,21,0.50,477545.812500,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6723,0,1,3400,-59,59,-467,20,21,0.50,494176.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6972,0,1,3400,-59,59,-465,18,21,0.51,437609.562500,0.6,27,0.0,0.0,27442.230469,0,0.0,0.0,0.0,1.0
7221,0,1,3400,-59,59,-465,19,21,0.50,457920.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7470,0,1,3400,-59,59,-470,19,21,0.50,503171.312500,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7719,0,1,3400,-59,59,-469,20,22,0.50,522880.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7968,0,1,3400,-59,59,-472,18,22,0.50,483808.000000,0,27,0.0080,0.0,28032.000000,0,0.0,0.0,0.0,1.0
8217,0,1,3400,-59,59,-468,19,22,0.50,467027.875000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8466,0,1,3400,-59,59,-469,19,22,0.50,509184.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8715,0,1,3400,-59,59,-470,16,21,0.50,408127.500000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8964,0,1,3400,-59,59,-473,18,21,0.50,443552.000000,0,27,0.0080,0.0,33632.000000,0,0.0,0.0,0.0,1.0
9213,0,1,3400,-59,59,-473,19,22,0.50,496286.843750,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9462,0,1,3400,-59,59,-469,19,22,0.50,530880.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9711,0,1,3400,-59,59,-469,19,22,0.50,492480.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9960,0,1,3400,-59,59,-471,18,22,0.50,453952.000000,0,27,0.0,0.0,26656.000000,4,0.0,0.0,0.0,1.0
10209,0,1,3400,-59,59,-471,19,22,0.50,483665.343750,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10458,0,1,3400,-59,59,-472,19,21,0.50,503296.000000,0,27,0.0,0.0,1568.000000,0,0.0,0.0,0.0,1.0
10707,0,1,3400,-59,59,-471,18,22,0.50,450208.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10956,0,1,3400,-59,59,-474,18,22,0.50,482007.968750,0,27,0.0080,0.0,32478.087891,0,0.0,0.0,0.0,1.0
11205,0,1,3400,-59,59,-472,18,21,0.50,457120.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
