Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1602213313336,10,1010123456020,77,,1,1,4,1,1,,8.14286,7,0,0.00469076,3,0,10.6667,,0.1,13,0,0.1,5,0,0,3.63188,31,,2,8,,0,0,0,1
1602213313586,10,1010123456020,77,,1,1,4,1,1,,17.9694,196,18882,0.27584,76,0,10,,4.46073,191,0,0.179968,78,23.0769,0,5.28153,31,,161,224,,0,0,0,3.15707
1602213313836,10,1010123456020,77,,1,1,4,1,1,,18.5858,169,43147,0.197728,70,0,10.75,,0.1,86,0,0.1,35,2.85714,0,3.42342,31,,296,142,,0,0,0,1.38372
1602213314086,10,1010123456020,77,,1,1,4,1,1,,20.032,219,65037,0.264512,84,0,11,,0,0,0,0,0,0,0,0,0,,297,174,,0,0,0,0
1602213314336,10,1010123456020,77,,1,1,4,1,1,,19.2195,164,89396,0.190848,66,0,10.6667,,0,0,0,0,0,0,0,0,0,,293,132,,0,0,0,0
1602213314586,10,1010123456020,77,,1,1,4,1,1,,19.7258,186,112726,0.229024,75,0,10.6667,,0.25,48,0,0.1,19,0,0,4.057,31,,304,154,,0,0,0,1.125
1602213314836,10,1010123456020,77,,1,1,4,1,1,,19.2732,194,136041,0.220288,76,0,10.5,,0,0,0,0,0,0,0,0,0,,296,154,,0,0,0,0
1602213315086,10,1010123456020,77,,1,1,4,1,1,,19.6442,208,158515,0.257312,85,0,10.6667,,0,0,0,0,0,0,0,0,0,,296,168,,0,0,0,0
1602213315336,10,1010123456020,77,,1,1,4,1,1,,19.1336,217,181101,0.251392,86,0,10.8333,,0,0,0,0,0,0,0,0,0,,306,172,,0,0,0,0
1602213315586,10,1010123456020,77,,1,1,4,1,1,,18.7411,197,184548,0.225984,82,0,8.66667,,0.1,52,0,0.1,21,0,0,3.39222,31,,298,166,,0,0,0,1.03846
1602213315836,10,1010123456020,77,,1,1,4,1,1,,19.8013,151,183330,0.174624,57,0,10.8,,0,0,0,0,0,0,0,0,0,,300,146,,0,0,0,0
1602213316086,10,1010123456020,77,,1,1,4,1,1,,18.3114,167,183739,0.171104,63,0,10,,0,0,0,0,0,0,0,0,0,,308,134,,0,0,0,0
1602213316336,10,1010123456020,77,,1,1,4,1,1,,18.8778,221,183439,0.253984,91,0,10.6,,0,2,0,0.1,1,0,0,0,31,,302,176,,0,0,0,0
1602213316586,10,1010123456020,77,,1,1,4,1,1,,16.9821,168,183942,0.186688,74,0,9.66667,,0.1,53,0,0.1,22,0,0,3.44259,31,,295,144,,0,0,0,1
