time,nof_ue,dl_brate,ul_brate
1602781404351,0,0.0,0.0
1602781404601,0,0.0,0.0
1602781404851,0,0.0,0.0
1602781405101,0,0.0,0.0
1602781405351,0,0.0,0.0
1602781405601,0,0.0,0.0
1602781405851,0,0.0,0.0
1602781406101,1,2226.086914,487
1602781406351,1,0.0,0.0
1602781406601,1,8672.000000,113376.000000
1602781406851,1,7520.000000,194432.000000
1602781407101,1,25760.000000,84256.000000
1602781407351,1,41216.000000,0.0
1602781407601,1,5152.000000,0.0
1602781407851,1,10304.000000,23488.000000
1602781408101,1,15456.000000,0.0
1602781408351,1,20768.000000,0.0
1602781408601,1,10304.000000,0.0
1602781408851,1,20608.000000,0.0
1602781409101,1,15616.000000,23488.000000
1602781409351,1,15518.072266,0.0
1602781409601,1,25920.000000,0.0
1602781409851,1,5152.000000,0.0
1602781410101,1,20768.000000,23488.000000
1602781410351,1,20608.000000,0.0
1602781410601,1,15456.000000,0.0
1602781410851,1,10304.000000,0.0
1602781411101,1,20768.000000,23488.000000
1602781411351,1,20768.000000,0.0
1602781411601,1,10464.000000,0.0
1602781411851,1,25952.000000,23488.000000
1602781412101,1,5322.708984,0.0
1602781412351,1,5152.000000,0.0
1602781412601,1,15552.000000,0.0
1602781412851,1,5248.000000,0.0
1602781413101,1,20608.000000,23488.000000
1602781413351,1,10304.000000,0.0
1602781413601,1,26048.000000,0.0
1602781413851,1,5152.000000,0.0
1602781414101,1,10400.000000,23488.000000
1602781414351,1,10304.000000,0.0
1602781414601,1,5152.000000,0.0
1602781414851,1,15456.000000,0.0
1602781415101,1,20608.000000,23488.000000
1602781415351,1,5152.000000,0.0
1602781415601,1,10304.000000,0.0
1602781415851,1,15456.000000,23488.000000
1602781416101,1,5172.690918,0.0
1602781416351,1,5152.000000,0.0
1602781416601,1,5152.000000,0.0
1602781416851,1,15456.000000,0.0
1602781417101,1,5152.000000,23488.000000
1602781417351,1,5152.000000,0.0
1602781417601,1,15648.000000,0.0
1602781417851,1,41408.000000,23488.000000
1602781418101,1,20608.000000,0.0
1602781418351,1,5152.000000,0.0
1602781418601,1,0.0,0.0
1602781418851,1,20768.000000,0.0
1602781419101,1,10304.000000,23488.000000
1602781419351,1,5152.000000,0.0
1602781419601,1,10304.000000,0.0
1602781419851,1,10496.000000,0.0
1602781420101,1,15456.000000,24000.000000
1602781420351,1,15456.000000,0.0
1602781420601,1,10816.000000,0.0
1602781420851,1,10400.000000,0.0
1602781421101,1,5344.000000,21952.000000
1602781421351,1,0.0,0.0
1602781421601,1,5152.000000,0.0
1602781421851,1,20800.000000,24000.000000
1602781422101,1,10400.000000,0.0
1602781422351,1,15552.000000,0.0
1602781422601,1,10304.000000,0.0
1602781422851,1,0.0,0.0
1602781423101,1,15614.458008,22554.216797
1602781423351,1,5152.000000,0.0
1602781423601,1,10304.000000,0.0
1602781423851,1,15456.000000,21952.000000
1602781424101,1,5152.000000,0.0
1602781424351,1,15456.000000,0.0
1602781424601,1,0.0,0.0
1602781424851,1,15456.000000,0.0
1602781425101,1,15840.000000,39520.000000
1602781425351,1,15394.421875,0.0
1602781425601,1,5344.000000,0.0
1602781425851,1,5152.000000,0.0
1602781426101,1,15456.000000,18880.000000
1602781426351,1,5152.000000,0.0
1602781426601,1,5152.000000,0.0
1602781426851,1,15456.000000,0.0
1602781427101,1,20608.000000,18624.000000
1602781427351,1,21024.000000,0.0
1602781427601,1,10304.000000,0.0
1602781427851,1,20768.000000,0.0
1602781428101,1,5152.000000,16064.000000
1602781428351,1,20608.000000,0.0
1602781428601,1,5152.000000,0.0
1602781428851,1,10304.000000,0.0
1602781429101,1,25920.000000,18624.000000
1602781429351,1,5172.690918,0.0
1602781429601,1,10464.000000,0.0
1602781429851,1,0.0,0.0
1602781430101,1,0.0,0.0
1602781430351,1,0.0,0.0
1602781430601,5,18898.664062,18040.082031
1602781430852,10,24751.177734,3152.541992
1602781431101,10,41344.000000,245600.000000
1602781431351,10,377344.000000,407264.000000
1602781431601,10,1041376.000000,135296.000000
1602781431851,10,1088828.750000,100462.156250
1602781432101,10,954368.000000,230464.000000
1602781432351,10,1061760.000000,127968.000000
1602781432601,10,376480.000000,589312.000000
1602781432851,10,118688.000000,276800.000000
1602781433101,10,176672.000000,200224.000000
1602781433351,10,144832.000000,7200.000000
1602781433601,10,157216.000000,55072.000000
1602781433851,10,184128.000000,43776.000000
1602781434101,10,133120.000000,87136.000000
1602781434351,10,185504.000000,0.0
1602781434601,10,214835.921875,33760.000000
1602781434851,10,232832.000000,23136.000000
1602781435101,10,164781.125000,75696.187500
1602781435351,10,288128.000000,0.0
