Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1602617305420,11,1010123456026,106,,1,1,8,1,0,,0.7,30,0,0.007104,12,0,5,,9.09375,32,0,0.1,13,30.7692,0,13.2514,31,,125,178,,0,0,0,3.0625
1602617305670,10,1010123456026,106,,1,1,8,1,0,,0.1,98,99,0.027968,38,0,1.5,,7.25,40,0,0.1,15,26.6667,0,13.4771,31,,74,378,,0,0,0,2.875
1602617305920,10,1010123456026,106,,1,1,8,1,0,,0.329268,82,76,0.024576,31,0,2.8,,8.96774,31,0,0.1,12,16.6667,0,11.3008,31,,1,300,,0,0,0,3.35484
1602617306170,10,1010123456026,106,,1,1,8,1,0,,0.79646,113,0,0.046272,49,0,4.33333,,8.18182,11,0,0.1,4,0,0,14.835,31,,79,416,,0,0,0,1.81818
1602617306420,10,1010123456026,106,,1,1,8,1,0,,0.1,183,0,0.056768,76,0,1.5,,0,0,0,0,0,0,0,0,0,,8,698,,0,0,0,0
1602617306670,10,1010123456026,106,,1,1,8,1,0,,0.1,80,0,0.024576,32,0,0.75,,12.5,6,0,0.1,2,0,0,13.5535,31,,12,296,,0,0,0,1
1602617306920,10,1010123456026,106,,1,1,8,1,0,,0.1,158,0,0.048448,62,0,1.25,,0,0,0,0,0,0,0,0,0,,52,596,,0,0,0,0
1602617307170,10,1010123456026,106,,1,1,8,1,0,,3.84507,71,0,0.039392,28,0,7,,0,0,0,0,0,0,0,0,0,,110,194,,0,0,0,0
1602617307420,10,1010123456026,106,,1,1,8,1,0,,4.34286,35,0,0.0224,14,0,3.66667,,0,0,0,0,0,0,0,0,0,,30,94,,0,0,0,0
1602617307670,10,1010123456026,106,,1,1,8,1,0,,3.53488,86,0,0.050688,32,0,4.66667,,8.4,5,0,0.1,2,0,0,11.8805,31,,191,226,,0,0,0,1
1602617307920,10,1010123456026,106,,1,1,8,1,0,,1.46667,60,0,0.023488,24,0,5,,0,0,0,0,0,0,0,0,0,,30,220,,0,0,0,0
1602617308170,10,1010123456026,106,,1,1,8,1,0,,1.0367,109,0,0.041696,45,0,0.8,,0,0,0,0,0,0,0,0,0,,43,360,,0,0,0,0
1602617308420,10,1010123456026,106,,1,1,8,1,0,,0.1,175,0,0.055072,70,0,1.75,,0,0,0,0,0,0,0,0,0,,49,620,,0,0,0,0
1602617308670,10,1010123456026,106,,1,1,8,1,0,,10.6,40,0,0.042624,14,0,11,,0,0,0,0,0,0,0,0,0,,67,92,,0,0,0,0
1602617308920,10,1010123456026,106,,1,1,8,1,0,,1.98913,92,136,0.054624,36,0,1.33333,,7.4,5,0,0.1,2,0,0,15.5973,31,,51,312,,0,0,0,1
1602617309170,10,1010123456026,106,,1,1,8,1,0,,0.568862,167,33,0.057248,65,0,1.75,,0,0,0,0,0,0,0,0,0,,79,596,,0,0,0,0
1602617309420,10,1010123456026,106,,1,1,8,1,0,,0.1,233,339,0.073184,94,0,1.5,,0,0,0,0,0,0,0,0,0,,-38,812,,0,0,0,0
1602617309670,10,1010123456026,106,,1,1,8,1,0,,0.1,135,132,0.04288,54,0,2,,0,4,0,0.1,2,0,0,0,31,,-68,568,,0,0,0,0
1602617309920,10,1010123456026,106,,1,1,8,1,0,,0.1,194,0,0.05824,75,0,1.33333,,0,0,0,0,0,0,0,0,0,,1,620,,0,0,0,0
1602617310170,10,1010123456026,106,,1,1,8,1,0,,0.1,154,0,0.053312,69,0,1.33333,,0,0,0,0,0,0,0,0,0,,45,498,,0,0,0,0
1602617310420,10,1010123456026,106,,1,1,8,1,0,,0.717647,170,0,0.059456,67,0,3.75,,0,0,0,0,0,0,0,0,0,,101,520,,0,0,0,0
1602617310670,10,1010123456026,106,,1,1,8,1,0,,0.1,165,77,0.048608,62,0,1.6,,0,4,0,0.1,2,0,0,0,31,,18,574,,0,0,0,0
1602617310920,10,1010123456026,106,,1,1,8,1,0,,3.82,50,0,0.02592,22,0,4,,0,0,0,0,0,0,0,0,0,,176,136,,0,0,0,0
1602617311170,10,1010123456026,106,,1,1,8,1,0,,7.48148,27,0,0.029536,11,0,5.25,,0,0,0,0,0,0,0,0,0,,221,66,,0,0,0,0
1602617311420,10,1010123456026,106,,1,1,8,1,0,,0.1,151,107,0.0433735,58,0,1.25,,0,0,0,0,0,0,0,0,0,,16,534,,0,0,0,0
1602617311670,10,1010123456026,106,,1,1,8,1,0,,0.1,100,0,0.0286586,39,0,1.25,,0,4,0,0.1,2,0,0,0,31,,58,382,,0,0,0,0
1602617311920,10,1010123456026,106,,1,1,8,1,0,,0.492754,69,0,0.026336,31,0,2,,0,0,0,0,0,0,0,0,0,,29,252,,0,0,0,0
1602617312170,10,1010123456026,106,,1,1,8,1,0,,1.65432,81,0,0.034496,31,0,4,,0,0,0,0,0,0,0,0,0,,85,268,,0,0,0,0
1602617312420,10,1010123456026,106,,1,1,8,1,0,,0.5,100,0,0.035456,39,0,5.25,,0,0,0,0,0,0,0,0,0,,34,322,,0,0,0,0
1602617312670,10,1010123456026,106,,1,1,8,1,0,,4.53125,64,62,0.038304,22,0,5.75,,11.2,5,0,0.1,2,0,0,15.3172,31,,89,212,,0,0,0,1
1602617312920,10,1010123456026,106,,1,1,8,1,0,,0.583333,96,0,0.036032,42,0,0.6,,0,0,0,0,0,0,0,0,0,,130,338,,0,0,0,0
1602617313170,10,1010123456026,106,,1,1,8,1,0,,0.1,43,158,0.012416,16,0,6.25,,0,0,0,0,0,0,0,0,0,,80,196,,0,0,0,0
1602617313420,10,1010123456026,106,,1,1,8,1,0,,0.429688,128,0,0.039008,46,0,3,,0,0,0,0,0,0,0,0,0,,62,426,,0,0,0,0
1602617313670,10,1010123456026,106,,1,1,8,1,0,,8.97561,41,0,0.056512,21,0,9,,12,5,0,0.1,2,0,0,19.6,31,,305,156,,0,0,0,1
1602617313920,10,1010123456026,106,,1,1,8,1,0,,0,6,0,0.02128,5,0,8.8,,0,0,0,0,0,0,0,0,0,,25,16,,0,0,0,0
1602617314170,10,1010123456026,106,,1,1,8,1,0,,4.07143,70,0,0.044224,28,0,4.4,,0,0,0,0,0,0,0,0,0,,50,194,,0,0,0,0
1602617314420,10,1010123456026,106,,1,1,8,1,0,,0.106383,188,0,0.056224,72,0,1.66667,,0,0,0,0,0,0,0,0,0,,4,648,,0,0,0,0
1602617314670,10,1010123456026,106,,1,1,8,1,0,,0.1,161,0,0.052032,65,0,2,,12,5,0,0.1,2,0,0,12.9014,31,,14,644,,0,0,0,1
1602617314920,10,1010123456026,106,,1,1,8,1,0,,2.75472,106,0,0.047328,44,0,3.57143,,0,0,0,0,0,0,0,0,0,,100,346,,0,0,0,0
1602617315170,10,1010123456026,106,,1,1,8,1,0,,0.1,191,70,0.055104,73,0,2,,0,0,0,0,0,0,0,0,0,,19,784,,0,0,0,0
1602617315420,10,1010123456026,106,,1,1,8,1,0,,0.902597,154,0,0.059616,66,0,3,,0,0,0,0,0,0,0,0,0,,87,488,,0,0,0,0
1602617315670,10,1010123456026,106,,1,1,8,1,0,,0.566929,127,0,0.04224,50,0,2.16667,,0,12,0,0.1,6,0,0,0,31,,75,434,,0,0,0,0
1602617315920,10,1010123456026,106,,1,1,8,1,0,,0.1,62,0,0.01872,25,0,1.6,,0,0,0,0,0,0,0,0,0,,9,212,,0,0,0,0
1602617316170,10,1010123456026,106,,1,1,8,1,0,,0.575,160,218,0.048224,59,0,2.5,,0,0,0,0,0,0,0,0,0,,31,536,,0,0,0,0
1602617316420,10,1010123456026,106,,1,1,8,1,0,,2.96774,62,84,0.043776,25,0,7.5,,0,0,0,0,0,0,0,0,0,,99,200,,0,0,0,0
1602617316670,10,1010123456026,106,,1,1,8,1,0,,1.4,90,0,0.040704,41,0,5.4,,0,0,0,0,0,0,0,0,0,,105,308,,0,0,0,0
1602617316920,10,1010123456026,106,,1,1,8,1,0,,0.613402,194,77,0.065536,75,0,3,,13.8,5,0,0.1,2,0,0,18.131,31,,35,654,,0,0,0,1
1602617317170,10,1010123456026,106,,1,1,8,1,0,,0.385621,153,198,0.048384,58,0,2.25,,0,0,0,0,0,0,0,0,0,,21,542,,0,0,0,0
1602617317420,10,1010123456026,106,,1,1,8,1,0,,0.1,129,136,0.041632,54,0,4.33333,,0,0,0,0,0,0,0,0,0,,28,440,,0,0,0,0
1602617317670,10,1010123456026,106,,1,1,8,1,0,,3.48438,128,0,0.0680161,51,0,6.2,,0,0,0,0,0,0,0,0,0,,92,400,,0,0,0,0
