time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached
0,0,0,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,0,1,3400,-64,64,-8.2,1.4,23,0.30,2912.000000,0,0.0,0.0,33,224,0,0.0,0.0,0.0,1.0
1494,0,1,3400,-65,65,-12,2.5,23,0.50,0.0,0.0,27,0.0,33,0.0,0.0,0.0,0.0,0.0,1.0
1743,0,1,3400,-65,65,-10,3.0,22,0.50,5152.000000,0,27,8.3,0.0,81696.000000,0,0.0,0.0,0.0,1.0
1992,0,1,3400,-65,65,-11,6.6,21,0.54,333568.000000,0,27,7.6,0.0,130880.000000,4,0.0,0.0,0.0,1.0
2241,0,1,3400,-65,65,-12,16,20,0.68,986304.000000,0,27,9.1,0.0,93088.000000,8,0.0,0.0,0.0,1.0
2490,0,1,3400,-66,66,-10,14,18,0.59,985568.000000,0,27,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2739,0,1,3400,-65,65,-12,14,18,0.67,941472.000000,0,27,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2988,0,1,3400,-65,65,-16,13,18,0.59,792637.437500,0,27,14,363,0.0,67,0.0,0.0,0.0,1.0
3237,0,1,3400,-65,65,-15,13,18,0.62,863072.000000,0,27,0.50,0.0,38240.000000,3,0.0,0.0,0.0,1.0
3486,0,1,3400,-65,65,-12,12,18,0.56,616768.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3735,0,1,3400,-65,65,-12,14,18,0.66,865248.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3984,0,1,3400,-65,65,-13,16,18,0.72,944768.000000,0,27,0.016,0.0,31744.000000,3,0.0,0.0,0.0,1.0
4233,0,1,3400,-65,65,-10,15,18,0.74,961120.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4482,0,1,3400,-66,66,-12,15,17,0.62,920032.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4731,0,1,3400,-66,66,-12,13,17,0.52,775072.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4980,0,1,3400,-66,66,-16,13,17,0.53,872448.000000,0,27,0.0080,121,7296.000000,0,0.0,0.0,0.0,1.0
5229,0,1,3400,-66,66,-12,13,17,0.54,917280.000000,0,27,5.8,0.0,30720.000000,20,0.0,0.0,0.0,1.0
5478,0,1,3400,-66,66,-11,13,17,0.53,844416.000000,0,27,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5727,0,1,3400,-66,66,-15,11,17,0.52,774976.000000,0,27,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5976,0,1,3400,-66,66,-14,15,17,0.94,941472.000000,6,27,4.7,0.0,34176.000000,0,0.0,0.0,0.0,1.0
6225,0,1,3400,-66,66,-12,14,17,0.68,964704.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6474,0,1,3400,-66,66,-12,13,17,0.52,914816.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6723,0,1,3400,-66,66,-8.9,13,17,0.52,831040.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6972,0,1,3400,-66,66,-7.7,14,17,0.59,901440.000000,0,27,0.0080,0.0,33632.000000,0,0.0,0.0,0.0,1.0
7221,0,1,3400,-66,66,-9.0,15,17,0.84,1019296.000000,2,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7470,0,1,3400,-66,66,-9.9,13,17,0.52,822880.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7719,0,1,3400,-65,65,-12,13,17,0.52,900160.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7968,0,1,3400,-65,65,-13,15,18,0.69,1029632.000000,0,27,1.3,0.0,21216.000000,25,0.0,0.0,0.0,1.0
8217,0,1,3400,-65,65,-12,14,18,0.66,898784.000000,0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8466,0,1,3400,-65,65,-8.7,16,18,0.70,1107104.000000,0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8715,0,1,3400,-65,65,-8.4,17,19,0.65,1120576.000000,0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8964,0,1,3400,-65,65,-10,17,19,0.75,1128672.000000,0,27,1.5,0.0,34176.000000,0,0.0,0.0,0.0,1.0
9213,0,1,3400,-65,65,-13,17,18,0.77,1159936.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9462,0,1,3400,-65,65,-11,15,18,0.68,1045024.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9711,0,1,3400,-65,65,-10,16,18,0.82,1069824.000000,0.4,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9960,0,1,3400,-65,65,-11,17,18,0.79,1119776.000000,0,27,0.90,0.0,50624.000000,6,0.0,0.0,0.0,1.0
10209,0,1,3400,-65,65,-9.6,16,18,0.70,1055648.000000,0,27,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10458,0,1,3400,-65,65,-10,16,18,0.67,978048.000000,0,27,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10707,0,1,3400,-65,65,-12,17,18,0.77,1125600.000000,0,27,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10956,0,1,3400,-65,65,-9.9,16,18,0.72,1038432.000000,0,27,5.2,0.0,33632.000000,0,0.0,0.0,0.0,1.0
11205,0,1,3400,-65,65,-10,17,18,0.76,1076704.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
