Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1602731481928,9,1010123456013,70,,1,2,8,1,0,,2.5,24,0,0.005504,8,0,10.4,,10.5,14,0,0.1,6,0,0,26.3793,31,,23,60,,0,0,0,1
1602731482178,11,1010123456013,70,,1,2,8,1,0,,17.2,15,0,0.032864,7,0,11,,11.3448,29,0,0.121952,12,0,0,17.9701,31,,19,26,,0,0,0,1.13793
1602731482428,11,1010123456013,70,,1,2,8,1,0,,18,11,0,0.020608,4,0,13.3333,,15.8,20,0,0.136448,8,0,0,17.2375,0,,15,20,,0,0,0,1.55
1602731482678,11,1010123456013,70,,1,2,8,1,0,,0,0,0,0,0,0,13.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602731482928,11,1010123456013,70,,1,2,8,1,0,,16.7647,17,0,0.031072,7,0,9.33333,,0,0,0,0,0,0,0,0,0,,27,30,,0,0,0,0
1602731483178,10,1010123456013,70,,1,2,8,1,0,,0,2,0,0.005152,1,0,10,,13,6,0,0.1,2,0,0,14.4292,31,,3,4,,0,0,0,2
1602731483428,10,1010123456013,70,,1,2,8,1,0,,15.1429,7,0,0.015968,3,0,10.5,,0,0,0,0,0,0,0,0,0,,11,16,,0,0,0,0
1602731483678,9,1010123456013,70,,1,2,8,1,0,,3.75,24,0,0.016512,10,0,10.6,,0,0,0,0,0,0,0,0,0,,16,70,,0,0,0,0
1602731483928,9,1010123456013,70,,1,2,8,1,0,,2.25,24,0,0.011328,9,0,8.4,,0,0,0,0,0,0,0,0,0,,-2,72,,0,0,0,0
1602731484178,9,1010123456013,70,,1,2,8,1,0,,18,3,0,0.005152,1,0,8.25,,10,5,0,0.1,2,0,0,11.9492,31,,3,4,,0,0,0,2.2
1602731484428,9,1010123456013,70,,1,2,8,1,0,,0,0,0,0,0,0,12.75,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602731484678,9,1010123456013,70,,1,2,8,1,0,,18,6,0,0.010304,2,0,10.2,,0,0,0,0,0,0,0,0,0,,9,8,,0,0,0,0
1602731484928,9,1010123456013,70,,1,2,8,1,0,,8.44444,9,0,0.010528,4,0,11,,0,0,0,0,0,0,0,0,0,,42,24,,0,0,0,0
1602731485178,10,1010123456013,70,,1,2,8,1,0,,18,5,0,0.010304,2,0,12.75,,1.12,25,0,0.1,10,0,0,9.08399,31,,6,8,,0,0,0,1.08
1602731485428,10,1010123456013,70,,1,2,8,1,0,,3.6,25,0,0.01648,10,0,10,,0,0,0,0,0,0,0,0,0,,118,142,,0,0,0,0
1602731485678,10,1010123456013,70,,1,2,8,1,0,,1.84211,38,0,0.016992,15,0,8.4,,0,0,0,0,0,0,0,0,0,,-14,114,,0,0,0,0
1602731485928,10,1010123456013,70,,1,2,8,1,0,,2.14286,28,0,0.0168,12,0,10.75,,0,0,0,0,0,0,0,0,0,,10,80,,0,0,0,0
1602731486178,10,1010123456013,70,,1,2,8,1,0,,6.4375,32,158,0.032256,13,0,5.25,,8.33333,18,0,0.1,8,0,0,11.7128,31,,43,92,,0,0,0,2.11111
1602731486428,10,1010123456013,70,,1,2,8,1,0,,10.75,20,0,0.018912,7,0,9.33333,,0,0,0,0,0,0,0,0,0,,66,34,,0,0,0,0
1602731486678,10,1010123456013,70,,1,2,8,1,0,,10.5714,7,0,0.01264,4,0,8.4,,0,0,0,0,0,0,0,0,0,,14,14,,0,0,0,0
1602731486928,10,1010123456013,70,,1,2,8,1,0,,18,5,0,0.010304,2,0,13,,0,0,0,0,0,0,0,0,0,,9,8,,0,0,0,0
1602731487178,10,1010123456013,70,,1,2,8,1,0,,16.2,10,0,0.015584,4,0,12.5,,5.5,24,0,0.1,10,40,0,7.50396,31,,22,12,,0,0,0,4.125
