time,nof_ue,dl_brate,ul_brate
1602710857278,0,0.0,0.0
1602710857528,0,0.0,0.0
1602710857778,0,0.0,0.0
1602710858028,0,0.0,0.0
1602710858278,0,0.0,0.0
1602710858528,0,0.0,0.0
1602710858778,0,0.0,0.0
1602710859028,0,0.0,0.0
1602710859278,0,0.0,0.0
1602710859528,0,0.0,0.0
1602710859778,0,0.0,0.0
1602710860028,0,0.0,0.0
1602710860278,0,0.0,0.0
1602710860528,0,0.0,0.0
1602710860778,0,0.0,0.0
1602710861028,0,0.0,0.0
1602710861278,0,0.0,0.0
1602710861528,0,0.0,0.0
1602710861778,0,0.0,0.0
1602710862028,0,0.0,0.0
1602710862278,0,0.0,0.0
1602710862528,0,0.0,0.0
1602710862778,0,0.0,0.0
1602710863028,0,0.0,0.0
1602710863278,0,0.0,0.0
1602710863528,0,0.0,0.0
1602710863778,0,0.0,0.0
1602710864028,0,0.0,0.0
1602710864278,0,0.0,0.0
1602710864528,0,0.0,0.0
1602710864778,0,0.0,0.0
1602710865028,0,0.0,0.0
1602710865278,0,0.0,0.0
1602710865528,0,0.0,0.0
1602710865778,0,0.0,0.0
1602710866028,0,0.0,0.0
1602710866278,0,0.0,0.0
1602710866528,0,0.0,0.0
1602710866778,0,0.0,0.0
1602710867028,0,0.0,0.0
1602710867278,0,0.0,0.0
1602710867528,0,0.0,0.0
1602710867778,0,0.0,0.0
1602710868028,0,0.0,0.0
1602710868278,0,0.0,0.0
1602710868528,0,0.0,0.0
1602710868778,0,0.0,0.0
1602710869028,0,0.0,0.0
1602710869278,0,0.0,0.0
1602710869528,0,0.0,0.0
1602710869778,0,0.0,0.0
1602710870028,0,0.0,0.0
1602710870278,0,0.0,0.0
1602710870528,0,0.0,0.0
1602710870778,0,0.0,0.0
1602710871028,0,0.0,0.0
1602710871278,0,0.0,0.0
1602710871528,0,0.0,0.0
1602710871778,0,0.0,0.0
1602710872028,0,0.0,0.0
1602710872278,0,0.0,0.0
1602710872528,0,0.0,0.0
1602710872778,0,0.0,0.0
1602710873028,0,0.0,0.0
1602710873278,0,0.0,0.0
1602710873528,0,0.0,0.0
1602710873778,0,0.0,0.0
1602710874028,0,0.0,0.0
1602710874278,0,0.0,0.0
1602710874528,0,0.0,0.0
1602710874778,0,0.0,0.0
1602710875028,0,0.0,0.0
1602710875278,0,0.0,0.0
1602710875528,0,0.0,0.0
1602710875778,0,0.0,0.0
1602710876028,0,0.0,0.0
1602710876278,0,0.0,0.0
1602710876528,0,0.0,0.0
1602710876778,0,0.0,0.0
1602710877028,0,0.0,0.0
1602710877278,0,0.0,0.0
1602710877528,0,0.0,0.0
1602710877778,0,0.0,0.0
1602710878028,0,0.0,0.0
1602710878278,0,0.0,0.0
1602710878528,0,0.0,0.0
1602710878778,0,0.0,0.0
1602710879028,0,0.0,0.0
1602710879278,0,0.0,0.0
1602710879528,0,0.0,0.0
1602710879778,0,0.0,0.0
1602710880028,0,0.0,0.0
1602710880278,0,0.0,0.0
1602710880528,0,0.0,0.0
1602710880778,0,0.0,0.0
1602710881028,0,0.0,0.0
1602710881278,0,0.0,0.0
1602710881528,0,0.0,0.0
1602710881778,0,0.0,0.0
1602710882028,0,0.0,0.0
1602710882278,0,0.0,0.0
1602710882528,0,0.0,0.0
1602710882778,0,0.0,0.0
1602710883028,0,0.0,0.0
1602710883278,3,6095.238281,3971.914307
1602710883529,9,8059.737793,1539.067627
1602710883779,11,30288.521484,262734.625000
1602710884029,11,508416.000000,508608.000000
1602710884279,10,1758656.000000,262112.000000
1602710884528,10,2108672.000000,495168.000000
1602710884778,10,2139968.000000,224864.000000
1602710885028,10,2137728.000000,181728.000000
1602710885279,10,2275136.000000,360960.000000
1602710885528,10,1666480.000000,25536.000000
1602710885778,10,3009696.000000,33088.000000
1602710886029,10,2869120.000000,0.0
1602710886278,10,2974240.000000,174656.000000
1602710886528,10,2660576.000000,40864.000000
1602710886778,10,3243328.000000,1568.000000
1602710887028,10,2823200.000000,31488.000000
1602710887278,10,2626048.000000,118208.000000
1602710887528,10,2595296.000000,30368.000000
1602710887778,10,2486176.000000,0.0
1602710888028,10,2756448.000000,32000.000000
1602710888278,10,2902240.000000,90144.000000
1602710888528,10,2515232.000000,38560.000000
1602710888779,10,3021728.000000,3136.000000
1602710889028,10,2684384.000000,78112.000000
1602710889279,10,2930400.000000,135424.000000
1602710889528,10,2944832.000000,15616.000000
1602710889778,10,2699200.000000,1568.000000
1602710890028,10,2638400.000000,69312.000000
1602710890278,10,2884608.000000,185024.000000
1602710890528,10,3087936.000000,26368.000000
1602710890778,10,2629888.000000,0.0
1602710891028,10,2731072.000000,65728.000000
1602710891278,10,2896640.000000,89920.000000
1602710891528,10,2883840.000000,32448.000000
1602710891779,10,2912445.500000,0.0
1602710892028,10,3106533.750000,113308.015625
1602710892279,10,2971744.000000,181728.000000
1602710892529,10,2380874.000000,39840.000000
1602710892778,10,2720544.000000,13184.000000
1602710893029,10,2304864.000000,48640.000000
1602710893279,10,2864288.000000,159904.000000
1602710893528,10,2519360.000000,15616.000000
1602710893778,10,2218720.000000,33216.000000
1602710894029,10,2845024.000000,1568.000000
1602710894278,10,2438112.000000,122208.000000
1602710894528,10,2786528.000000,32096.000000
1602710894778,10,2474336.000000,13024.000000
1602710895028,10,2427840.000000,45408.000000
1602710895278,10,2436768.000000,96160.000000
1602710895528,10,2657248.000000,27104.000000
1602710895778,10,2741600.000000,0.0
1602710896028,10,3006976.000000,36224.000000
1602710896278,10,2348640.000000,136672.000000
1602710896528,10,2834592.000000,37920.000000
1602710896778,10,2314272.000000,0.0
1602710897028,10,2715648.000000,67232.000000
1602710897278,10,2462240.000000,130336.000000
1602710897528,10,2869824.000000,21344.000000
1602710897778,10,2669056.000000,0.0
1602710898028,10,3016224.000000,93312.000000
1602710898278,10,2214304.000000,151200.000000
1602710898528,10,2900411.750000,58597.863281
1602710898778,10,2239949.750000,26955.824219
1602710899028,10,2695680.000000,41664.000000
1602710899278,10,1880480.000000,147712.000000
1602710899528,10,2901664.000000,29024.000000
1602710899778,10,2573760.000000,16096.000000
1602710900028,10,2728224.000000,71744.000000
1602710900278,10,2629600.000000,111840.000000
1602710900528,10,2692992.000000,26272.000000
1602710900778,10,2262336.000000,0.0
1602710901028,10,2865216.000000,77440.000000
1602710901278,10,2357856.000000,71104.000000
1602710901528,10,2392704.000000,40192.000000
1602710901778,10,2782592.000000,0.0
1602710902028,10,2151488.000000,78688.000000
1602710902278,10,2673216.000000,113376.000000
1602710902528,10,2889056.000000,34400.000000
1602710902778,10,2410624.000000,37696.000000
