time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached
0,0,0,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996,0,1,3400,-69,69,-573,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,0,1,3400,-69,69,-648,1.3,17,0.29,2912.000000,0,0.0,0.0,33,224,0,0.0,0.0,0.0,1.0
1494,0,1,3400,-69,69,-658,2.8,17,0.50,2007.968140,0,27,1.4,24,12047.808594,0,0.0,0.0,0.0,1.0
1743,0,1,3400,-69,69,-665,3.2,17,0.50,1115.537842,0,27,13,21,27952.191406,0,0.0,0.0,0.0,1.0
1992,0,1,3400,-69,69,-664,7.0,16,0.50,7456.000000,0,27,6.4,36,32832.000000,0,0.0,0.0,0.0,1.0
2241,0,1,3400,-69,69,-655,4.7,16,0.50,2390.438232,0,27,11,2.0,34135.457031,38,0.0,0.0,0.0,1.0
2490,0,1,3400,-69,69,-662,2.0,16,0.50,0.0,0.0,27,5.2,0.0,5258.964355,0,0.0,0.0,0.0,1.0
2739,0,1,3400,-69,69,-654,2.9,16,0.50,11392.000000,0,27,3.6,0.0,45952.000000,0,0.0,0.0,0.0,1.0
2988,0,1,3400,-69,69,-657,7.2,15,0.78,16350.597656,0,27,3.7,186,49498.007812,12,0.0,0.0,0.0,1.0
3237,0,1,3400,-69,69,-662,7.9,15,0.50,32605.578125,0,27,5.2,0.0,48350.597656,4,0.0,0.0,0.0,1.0
3486,0,1,3400,-69,69,-655,10,15,0.50,21952.000000,0,27,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3735,0,1,3400,-69,69,-657,12,16,0.73,5290.836426,0,27,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3984,0,1,3400,-69,69,-658,5.8,16,0.87,41088.000000,0,27,4.7,0.0,14048.000000,0,0.0,0.0,0.0,1.0
4233,0,1,3400,-69,69,-663,0.34,16,0.57,5545.816895,0,27,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4482,0,1,3400,-69,69,-663,6.5,16,0.80,11760.956055,0,27,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4731,0,1,3400,-69,69,-656,6.0,15,0.50,16832.000000,0,27,5.5,186,0.0,0.0,0.0,1.0,0.0,1.0
4980,0,1,3400,-69,69,-654,5.6,15,0.62,18167.330078,0,27,0.40,0.0,13131.473633,0,0.0,0.0,0.0,1.0
5229,0,1,3400,-69,69,-657,6.6,15,0.50,6980.079590,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5478,0,1,3400,-69,69,-658,8.5,15,0.50,0.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5727,0,1,3400,-69,69,-652,13,15,1.9,2539.682617,50,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5976,0,1,3400,-69,69,-652,14,15,2.2,1306.772949,50,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6225,0,1,3400,-69,69,-661,13,15,2.0,9120.000000,0,27,0.0,144,0.0,0,0.0,0.0,0.0,1.0
6474,0,1,3400,-69,69,-663,13,15,3.2,8286.852539,50,27,1.6,0.0,12494.023438,0,0.0,0.0,0.0,1.0
6723,0,1,3400,-69,69,-652,10,15,1.3,8512.000000,8,27,1.8,0.0,11456.000000,17,0.0,0.0,0.0,1.0
6972,0,1,3400,-69,69,-657,4.6,15,0.67,10900.398438,0,27,0.072,0.0,28940.238281,6,0.0,0.0,0.0,1.0
7221,0,1,3400,-69,69,-659,6.3,15,0.50,28334.662109,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7470,0,1,3400,-69,69,-658,5.4,15,0.50,23100.402344,0,27,0.056,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7719,0,1,3400,-69,69,-663,12,15,1.6,16733.068359,8,27,0.028,0.0,13131.473633,0,0.0,0.0,0.0,1.0
7968,0,1,3400,-69,69,-654,9.7,14,0.73,11091.633789,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8217,0,1,3400,-69,69,-656,5.6,14,0.50,11584.000000,0,27,0.056,0.0,4704.000000,0,0.0,0.0,0.0,1.0
8466,0,1,3400,-69,69,-661,4.0,15,0.51,17784.861328,0,27,0.084,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8715,0,1,3400,-69,69,-660,3.4,15,0.50,8637.450195,0,27,0.028,186,0.0,0.0,0.0,0.0,0.0,1.0
8964,0,1,3400,-69,69,-654,11,15,1.5,3808.000000,33,27,0.056,0.0,18368.000000,0,0.0,0.0,0.0,1.0
9213,0,1,3400,-69,69,-658,6.8,15,1.0,19250.996094,0,27,0.028,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9462,0,1,3400,-69,69,-657,11,15,1.6,10496.000000,13,27,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9711,0,1,3400,-69,69,-660,3.4,15,0.57,13768.923828,6,27,0.056,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9960,0,1,3400,-69,69,-662,14,15,1.3,20462.152344,18,27,2.9,0.0,21195.218750,18,0.0,0.0,0.0,1.0
10209,0,1,3400,-69,69,-654,11,15,1.8,14304.000000,25,27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10458,0,1,3400,-69,69,-662,12,15,0.59,16191.235352,0,27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10707,0,1,3400,-69,69,-662,7.4,15,0.52,5641.434082,0,27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10956,0,1,3400,-69,69,-649,6.8,15,0.55,13856.000000,10,27,2.9,0.0,16864.000000,5,0.0,0.0,0.0,1.0
11205,0,1,3400,-69,69,-657,12,15,1.5,11282.868164,18,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
