time,nof_ue,dl_brate,ul_brate
1602984075666,0,0.0,0.0
1602984075916,0,0.0,0.0
1602984076166,0,0.0,0.0
1602984076416,0,0.0,0.0
1602984076666,0,0.0,0.0
1602984076916,0,0.0,0.0
1602984077166,0,0.0,0.0
1602984077416,0,0.0,0.0
1602984077666,0,0.0,0.0
1602984077916,0,0.0,0.0
1602984078166,0,0.0,0.0
1602984078416,0,0.0,0.0
1602984078666,0,0.0,0.0
1602984078916,0,0.0,0.0
1602984079166,0,0.0,0.0
1602984079416,0,0.0,0.0
1602984079666,0,0.0,0.0
1602984079916,0,0.0,0.0
1602984080166,0,0.0,0.0
1602984080416,0,0.0,0.0
1602984080666,0,0.0,0.0
1602984080916,0,0.0,0.0
1602984081166,0,0.0,0.0
1602984081416,0,0.0,0.0
1602984081666,0,0.0,0.0
1602984081916,0,0.0,0.0
1602984082166,0,0.0,0.0
1602984082416,0,0.0,0.0
1602984082666,0,0.0,0.0
1602984082916,0,0.0,0.0
1602984083166,0,0.0,0.0
1602984083416,0,0.0,0.0
1602984083666,0,0.0,0.0
1602984083916,0,0.0,0.0
1602984084166,0,0.0,0.0
1602984084416,0,0.0,0.0
1602984084666,0,0.0,0.0
1602984084916,0,0.0,0.0
1602984085166,0,0.0,0.0
1602984085416,0,0.0,0.0
1602984085666,0,0.0,0.0
1602984085916,0,0.0,0.0
1602984086166,0,0.0,0.0
1602984086416,0,0.0,0.0
1602984086666,0,0.0,0.0
1602984086916,0,0.0,0.0
1602984087166,0,0.0,0.0
1602984087416,0,0.0,0.0
1602984087666,0,0.0,0.0
1602984087916,0,0.0,0.0
1602984088166,0,0.0,0.0
1602984088416,0,0.0,0.0
1602984088666,0,0.0,0.0
1602984088916,0,0.0,0.0
1602984089166,0,0.0,0.0
1602984089416,0,0.0,0.0
1602984089666,0,0.0,0.0
1602984089916,0,0.0,0.0
1602984090166,0,0.0,0.0
1602984090416,0,0.0,0.0
1602984090666,0,0.0,0.0
1602984090916,0,0.0,0.0
1602984091166,0,0.0,0.0
1602984091416,0,0.0,0.0
1602984091666,0,0.0,0.0
1602984091916,0,0.0,0.0
1602984092166,0,0.0,0.0
1602984092416,0,0.0,0.0
1602984092666,0,0.0,0.0
1602984092916,0,0.0,0.0
1602984093166,0,0.0,0.0
1602984093416,0,0.0,0.0
1602984093666,0,0.0,0.0
1602984093916,0,0.0,0.0
1602984094166,0,0.0,0.0
1602984094416,0,0.0,0.0
1602984094666,0,0.0,0.0
1602984094916,0,0.0,0.0
1602984095166,0,0.0,0.0
1602984095416,0,0.0,0.0
1602984095666,0,0.0,0.0
