time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached
0,0,0,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996,0,1,3400,-59,59,-209,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,0,1,3400,-59,59,-154,4.2,25,0.40,2912.000000,0,0.0,0.0,33,224,0,0.0,0.0,0.0,1.0
1494,0,1,3400,-59,59,-152,5.3,25,0.50,1856.000000,0,27,2.4,24,19520.000000,0,0.0,0.0,0.0,1.0
1743,0,1,3400,-59,59,-147,4.4,25,0.50,1120.000000,0,27,6.2,21,3328.000000,0,0.0,0.0,0.0,1.0
1992,0,1,3400,-59,59,-147,4.1,25,0.50,7553.784668,0,27,9.4,0.0,62884.460938,0,0.0,0.0,0.0,1.0
2241,0,1,3400,-59,59,-151,7.8,24,0.50,12626.505859,0,27,11,186,42409.636719,12,0.0,0.0,0.0,1.0
2490,0,1,3400,-59,59,-151,14,24,0.50,42772.910156,0,27,0.74,0.0,40223.109375,0,0.0,0.0,0.0,1.0
2739,0,1,3400,-59,59,-150,15,23,0.50,26795.181641,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2988,0,1,3400,-59,59,-151,16,23,0.50,53152.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3237,0,1,3400,-59,59,-147,16,23,0.50,26560.000000,0,27,0.18,0.0,16064.000000,0,0.0,1.0,0.0,1.0
3486,0,1,3400,-59,59,-148,13,23,0.50,42208.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3735,0,1,3400,-59,59,-147,11,23,0.50,39075.695312,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3984,0,1,3400,-59,59,-152,15,23,0.50,33920.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4233,0,1,3400,-59,59,-153,9.4,23,0.65,34304.000000,3,27,0.0080,186,0.0,0,0.0,0.0,0.0,1.0
4482,0,1,3400,-59,59,-148,14,23,0.54,32288.000000,0,27,2.0,0.0,15008.000000,0,0.0,0.0,0.0,1.0
4731,0,1,3400,-59,59,-147,16,23,0.50,42645.417969,0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4980,0,1,3400,-59,59,-145,15,23,0.64,51168.000000,4,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5229,0,1,3400,-59,59,-150,14,23,0.50,34432.000000,0,27,2.0,144,0.0,0,0.0,0.0,0.0,1.0
5478,0,1,3400,-59,59,-144,15,23,0.50,59219.125000,0,27,0.95,0.0,18613.544922,0,0.0,0.0,0.0,1.0
5727,0,1,3400,-59,59,-148,18,23,0.50,31872.000000,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5976,0,1,3400,-59,59,-149,17,23,0.50,37184.000000,0,27,1.00,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6225,0,1,3400,-59,59,-145,16,23,0.51,42688.000000,5,27,0.99,144,0.0,0,0.0,0.0,0.0,1.0
6474,0,1,3400,-59,59,-149,14,23,0.70,69920.000000,3,27,1.9,0.0,22368.000000,0,0.0,0.0,0.0,1.0
6723,0,1,3400,-59,59,-148,14,23,1.2,22080.000000,18,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6972,0,1,3400,-59,59,-149,14,23,0.56,53248.000000,0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7221,0,1,3400,-59,59,-150,12,23,0.50,31649.402344,0,27,2.0,186,0.0,0.0,0.0,0.0,0.0,1.0
7470,0,1,3400,-59,59,-149,16,23,0.50,69664.000000,0,27,0.056,0.0,17792.000000,0,0.0,0.0,0.0,1.0
7719,0,1,3400,-59,59,-142,16,23,0.50,74240.000000,0,27,0.0,0.0,896,0,0.0,0.0,0.0,1.0
7968,0,1,3400,-59,59,-143,17,23,0.51,63584.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8217,0,1,3400,-59,59,-146,17,23,0.50,69216.000000,0,27,0.0080,112,0.0,0,0.0,0.0,0.0,1.0
8466,0,1,3400,-59,59,-143,18,23,0.50,26560.000000,0,27,2.0,0.0,16672.000000,0,0.0,0.0,0.0,1.0
8715,0,1,3400,-59,59,-145,13,23,0.50,37888.000000,0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8964,0,1,3400,-59,59,-147,15,23,0.50,48192.000000,0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9213,0,1,3400,-59,59,-146,16,23,0.89,26677.291016,15,27,1.8,0.0,18613.544922,0,0.0,0.0,0.0,1.0
9462,0,1,3400,-59,59,-148,12,23,0.67,46554.218750,0,27,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9711,0,1,3400,-59,59,-148,15,23,0.63,64128.000000,4,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9960,0,1,3400,-59,59,-148,13,23,0.50,53216.000000,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10209,0,1,3400,-59,59,-145,12,23,0.53,43872.000000,3,27,1.0,144,0.0,0,0.0,0.0,0.0,1.0
10458,0,1,3400,-59,59,-145,18,23,0.50,23200.000000,0,27,0.97,0.0,15232.000000,0,0.0,0.0,0.0,1.0
10707,0,1,3400,-59,59,-152,14,23,0.50,58880.000000,0,27,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10956,0,1,3400,-59,59,-149,16,23,0.93,21163.345703,11,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11205,0,1,3400,-59,59,-149,15,23,0.50,37888.000000,0,27,1.0,186,0.0,0.0,0.0,0.0,0.0,1.0
11454,0,1,3400,-59,59,-149,13,23,0.50,56605.578125,0,27,0.19,0.0,16191.235352,0,0.0,0.0,0.0,1.0
