Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1602859434690,10,1010123456005,72,,1,2,2,1,1,,12.3333,12,0,0.0107952,4,0,10,,10.5417,24,0,0.1,9,33.3333,0,11.9023,31,,3,10,,0,0,0,4.5
1602859434940,10,1010123456005,72,,1,2,2,1,1,,16,6,0,0.00587952,3,0,11.3333,,7.86956,23,0,0.1,8,50,0,5.49571,31,,0,4,,0,0,0,5.69565
1602859435190,10,1010123456005,72,,1,2,2,1,1,,19.1538,26,0,0.03168,10,0,10.1667,,2.72,50,0,0.1,20,0,0,7.09924,31,,0,30,,0,0,0,1.06
1602859435440,10,1010123456005,72,,1,2,2,1,1,,17.5,20,0,0.0213333,8,0,11,,1.64286,28,0,0.1,11,9.09091,0,6.1444,31,,0,16,,0,0,0,1.64286
1602859435690,10,1010123456005,72,,1,2,2,1,1,,17.5238,21,0,0.021248,8,0,9.2,,0,0,0,0,0,0,0,0,0,,0,16,,0,0,0,0
1602859435940,10,1010123456005,72,,1,2,2,1,1,,16.8,5,0,0.005312,2,0,10.8333,,0,0,0,0,0,0,0,0,0,,0,4,,0,0,0,0
1602859436190,10,1010123456005,72,,1,2,2,1,1,,15.8214,28,0,0.02672,11,0,10.6667,,0.416667,24,0,0.1,9,0,0,5.41997,31,,19,22,,0,0,0,1
1602859436440,10,1010123456005,72,,1,2,2,1,1,,28,3,0,0.00592,1,0,11.5,,0,0,0,0,0,0,0,0,0,,2,2,,0,0,0,0
1602859436690,10,1010123456005,72,,1,2,2,1,1,,17.5,16,0,0.015936,6,0,11,,0,0,0,0,0,0,0,0,0,,12,12,,0,0,0,0
1602859436940,10,1010123456005,72,,1,2,2,1,1,,17.5,14,0,0.015936,6,0,11,,1.33333,12,0,0.1,5,0,0,7.3933,31,,15,12,,0,0,0,1
1602859437190,10,1010123456005,72,,1,2,2,1,1,,12.7619,21,0,0.016384,9,0,10,,0,0,0,0,0,0,0,0,0,,12,18,,0,0,0,0
1602859437440,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,11.8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859437690,10,1010123456005,72,,1,2,2,1,1,,21,3,57,0,0,0,11.8,,0,0,0,0,0,0,0,0,0,,1,2,,0,0,0,0
1602859437940,10,1010123456005,72,,1,2,2,1,1,,22.4,5,0,0.011232,3,0,9.6,,5.56,25,0,0.1,10,0,0,7.29325,31,,6,4,,0,0,0,1.6
1602859438190,10,1010123456005,72,,1,2,2,1,1,,17.5,10,0,0.010624,4,0,11,,0,0,0,0,0,0,0,0,0,,8,8,,0,0,0,0
1602859438440,10,1010123456005,72,,1,2,2,1,1,,17.8182,11,0,0.010624,4,0,11,,0,0,0,0,0,0,0,0,0,,7,8,,0,0,0,0
1602859438690,10,1010123456005,72,,1,2,2,1,1,,17.5,16,0,0.015936,6,0,9.2,,0,0,0,0,0,0,0,0,0,,13,12,,0,0,0,0
1602859438940,10,1010123456005,72,,1,2,2,1,1,,16.6429,14,0,0.01584,6,0,9.83333,,1.75,12,0,0.1,5,0,0,6.97316,31,,18,12,,0,0,0,1
1602859439190,10,1010123456005,72,,1,2,2,1,1,,12.1739,23,0,0.01648,9,0,9.5,,0,0,0,0,0,0,0,0,0,,24,18,,0,0,0,0
1602859439440,10,1010123456005,72,,1,2,2,1,1,,17.2432,37,75,0.03712,14,0,10.75,,0,0,0,0,0,0,0,0,0,,25,30,,0,0,0,0
1602859439690,10,1010123456005,72,,1,2,2,1,1,,17.9091,11,0,0.015936,6,0,11,,0,0,0,0,0,0,0,0,0,,29,10,,0,0,0,0
1602859439940,10,1010123456005,72,,1,2,2,1,1,,17.6,10,0,0.010624,4,0,10,,1.375,16,0,0.1,6,0,0,8.56306,31,,7,8,,0,0,0,1
1602859440190,10,1010123456005,72,,1,2,2,1,1,,17.1818,11,0,0.010624,4,0,11,,0,0,0,0,0,0,0,0,0,,7,8,,0,0,0,0
1602859440440,10,1010123456005,72,,1,2,2,1,1,,20.3571,14,20,0.017696,5,0,9.25,,0,0,0,0,0,0,0,0,0,,36,40,,0,0,0,0
1602859440690,10,1010123456005,72,,1,2,2,1,1,,13.7143,7,0,0.009376,4,0,9.25,,0,0,0,0,0,0,0,0,0,,5,6,,0,0,0,0
1602859440940,10,1010123456005,72,,1,2,2,1,1,,17.8182,11,0,0.010624,4,0,10.25,,2.83333,18,0,0.1,7,0,0,7.859,31,,17,8,,0,0,0,1
1602859441190,10,1010123456005,72,,1,2,2,1,1,,22,7,158,0.011232,3,0,11.2,,0,0,0,0,0,0,0,0,0,,7,6,,0,0,0,0
1602859441440,10,1010123456005,72,,1,2,2,1,1,,12.7308,26,0,0.021632,11,0,9.5,,0,0,0,0,0,0,0,0,0,,27,26,,0,0,0,0
1602859441690,10,1010123456005,72,,1,2,2,1,1,,18.6316,19,0,0.021248,7,0,11.8,,0,0,0,0,0,0,0,0,0,,22,14,,0,0,0,0
1602859441940,10,1010123456005,72,,1,2,2,1,1,,11.7667,30,0,0.021696,12,0,9.6,,0.190476,21,0,0.1,9,0,0,4.39871,31,,26,24,,0,0,0,1
1602859442190,10,1010123456005,72,,1,2,2,1,1,,14.5312,32,0,0.027008,13,0,9.75,,0,0,0,0,0,0,0,0,0,,21,26,,0,0,0,0
1602859442440,10,1010123456005,72,,1,2,2,1,1,,17.5714,14,158,0.015936,6,0,11,,0,0,0,0,0,0,0,0,0,,15,12,,0,0,0,0
1602859442690,10,1010123456005,72,,1,2,2,1,1,,17.5,14,0,0.015936,6,0,11,,0,0,0,0,0,0,0,0,0,,20,12,,0,0,0,0
1602859442940,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,10,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859443190,10,1010123456005,72,,1,2,2,1,1,,16.9167,24,0,0.02656,10,0,9.16667,,0.210526,19,0,0.1,8,0,0,6.9946,31,,47,34,,0,0,0,1
1602859443440,10,1010123456005,72,,1,2,2,1,1,,16.3636,11,0,0.01056,4,0,11,,0,0,0,0,0,0,0,0,0,,6,8,,0,0,0,0
1602859443690,10,1010123456005,72,,1,2,2,1,1,,16.8333,24,0,0.026496,10,0,11,,0,0,0,0,0,0,0,0,0,,24,20,,0,0,0,0
1602859443940,10,1010123456005,72,,1,2,2,1,1,,17.5263,19,0,0.021088,8,0,10.25,,2,11,0,0.1,4,0,0,6.42556,31,,13,16,,0,0,0,1
1602859444190,10,1010123456005,72,,1,2,2,1,1,,17.6957,23,0,0.026496,10,0,11,,0,0,0,0,0,0,0,0,0,,16,20,,0,0,0,0
1602859444440,10,1010123456005,72,,1,2,2,1,1,,17.3333,15,0,0.015936,6,0,6.4,,0,0,0,0,0,0,0,0,0,,50,62,,0,0,0,0
1602859444690,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,11,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859444940,10,1010123456005,72,,1,2,2,1,1,,0,4,0,0.005312,2,0,9.25,,5.07143,14,0,0.1,5,0,0,11.2374,31,,5,6,,0,0,0,1
1602859445190,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,11,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859445440,10,1010123456005,72,,1,2,2,1,1,,17.7333,15,0,0.015936,6,0,11,,0,0,0,0,0,0,0,0,0,,15,12,,0,0,0,0
1602859445690,10,1010123456005,72,,1,2,2,1,1,,17.8182,11,0,0.010624,4,0,11,,0,0,0,0,0,0,0,0,0,,4,8,,0,0,0,0
1602859445940,10,1010123456005,72,,1,2,2,1,1,,18.1765,17,0,0.021856,7,0,11.6667,,1.55,20,0,0.1,8,0,0,6.98829,31,,15,16,,0,0,0,1
1602859446190,10,1010123456005,72,,1,2,2,1,1,,0,4,0,0.005312,2,0,11,,0,0,0,0,0,0,0,0,0,,2,4,,0,0,0,0
1602859446440,10,1010123456005,72,,1,2,2,1,1,,18.1,10,0,0.010624,4,0,8.2,,0,0,0,0,0,0,0,0,0,,14,8,,0,0,0,0
1602859446690,10,1010123456005,72,,1,2,2,1,1,,13.8889,27,0,0.021536,11,0,10.1667,,0,0,0,0,0,0,0,0,0,,32,24,,0,0,0,0
1602859446940,10,1010123456005,72,,1,2,2,1,1,,18.2,5,0,0.005312,2,0,9.16667,,2.37037,27,0,0.1,11,0,0,5.43922,31,,3,4,,0,0,0,1
1602859447190,10,1010123456005,72,,1,2,2,1,1,,0,0,158,0,0,0,11,,0,0,0,0,0,0,0,0,0,,1,0,,0,0,0,0
1602859447440,10,1010123456005,72,,1,2,2,1,1,,17.6471,17,65,0.013984,5,0,11,,0,0,0,0,0,0,0,0,0,,38,14,,0,0,0,0
1602859447690,10,1010123456005,72,,1,2,2,1,1,,18.2353,17,113,0.017888,7,0,12,,0,0,0,0,0,0,0,0,0,,26,14,,0,0,0,0
1602859447940,10,1010123456005,72,,1,2,2,1,1,,15,11,0,0.015872,6,0,8.57143,,1.86207,29,0,0.1,12,0,0,7.16302,31,,58,66,,0,0,0,1
1602859448190,10,1010123456005,72,,1,2,2,1,1,,16.7727,22,0,0.019232,7,0,9.6,,0,0,0,0,0,0,0,0,0,,20,16,,0,0,0,0
1602859448440,10,1010123456005,72,,1,2,2,1,1,,6.2449,49,0,0.018272,17,0,9.25,,0,0,0,0,0,0,0,0,0,,32,42,,0,0,0,0
1602859448690,10,1010123456005,72,,1,2,2,1,1,,14.2143,14,0,0.012032,8,0,11,,0,0,0,0,0,0,0,0,0,,8,10,,0,0,0,0
1602859448940,10,1010123456005,72,,1,2,2,1,1,,17.5,10,0,0.010624,4,0,11,,2.23529,17,0,0.1,7,0,0,8.07957,31,,6,8,,0,0,0,1
1602859449190,10,1010123456005,72,,1,2,2,1,1,,17.5,10,0,0.010624,4,0,11,,0,0,0,0,0,0,0,0,0,,5,8,,0,0,0,0
1602859449440,10,1010123456005,72,,1,2,2,1,1,,17.8889,9,158,0.010624,4,0,11,,0,0,0,0,0,0,0,0,0,,8,10,,0,0,0,0
1602859449690,10,1010123456005,72,,1,2,2,1,1,,17.2667,15,0,0.015936,6,0,11,,0,0,0,0,0,0,0,0,0,,10,12,,0,0,0,0
1602859449940,10,1010123456005,72,,1,2,2,1,1,,17.7273,11,0,0.010624,4,0,9.6,,0,0,0,0,0,0,0,0,0,,11,10,,0,0,0,0
1602859450190,10,1010123456005,72,,1,2,2,1,1,,9.82353,34,158,0.016768,13,0,6.8,,3.2,15,0,0.1,6,0,0,7.69415,31,,71,48,,0,0,0,1
1602859450440,10,1010123456005,72,,1,2,2,1,1,,17.5455,22,0,0.021184,8,0,11,,0,0,0,0,0,0,0,0,0,,23,16,,0,0,0,0
1602859450690,10,1010123456005,72,,1,2,2,1,1,,16.9524,21,0,0.021184,8,0,11,,0,0,0,0,0,0,0,0,0,,12,16,,0,0,0,0
1602859450940,10,1010123456005,72,,1,2,2,1,1,,18.2,5,0,0.005312,2,0,11,,1.89474,19,0,0.1,7,0,0,7.36482,31,,5,4,,0,0,0,1
1602859451190,10,1010123456005,72,,1,2,2,1,1,,17.2667,15,0,0.015936,6,0,9.2,,0,0,0,0,0,0,0,0,0,,6,12,,0,0,0,0
1602859451440,10,1010123456005,72,,1,2,2,1,1,,13,24,0,0.016384,9,0,10,,0,0,0,0,0,0,0,0,0,,22,18,,0,0,0,0
1602859451690,10,1010123456005,72,,1,2,2,1,1,,0,4,0,0.005312,2,0,8.2,,0,0,0,0,0,0,0,0,0,,2,4,,0,0,0,0
1602859451940,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859452190,10,1010123456005,72,,1,2,2,1,1,,20.25,12,0,0.015712,5,0,9.2,,1.23077,26,0,0.1,11,0,0,5.17129,31,,30,34,,0,0,0,1.07692
1602859452440,10,1010123456005,72,,1,2,2,1,1,,17.8889,9,0,0.010624,4,0,10,,0,0,0,0,0,0,0,0,0,,5,8,,0,0,0,0
1602859452690,10,1010123456005,72,,1,2,2,1,1,,17.7333,30,0,0.031808,12,0,9.83333,,0,0,0,0,0,0,0,0,0,,20,24,,0,0,0,0
1602859452940,10,1010123456005,72,,1,2,2,1,1,,17.1111,9,0,0.010624,4,0,11,,0.666667,24,0,0.1,9,0,0,6.46558,31,,6,8,,0,0,0,1
1602859453190,10,1010123456005,72,,1,2,2,1,1,,16.4,20,0,0.021184,8,0,8.83333,,0,0,0,0,0,0,0,0,0,,20,24,,0,0,0,0
1602859453440,10,1010123456005,72,,1,2,2,1,1,,17.6667,21,315,0.021248,8,0,11,,0,0,0,0,0,0,0,0,0,,21,16,,0,0,0,0
1602859453690,10,1010123456005,72,,1,2,2,1,1,,17.6667,18,158,0.021152,8,0,11,,0,0,0,0,0,0,0,0,0,,22,16,,0,0,0,0
1602859453940,10,1010123456005,72,,1,2,2,1,1,,17.8889,9,315,0.010624,4,0,11.8571,,0.3,20,0,0.1,8,0,0,5.72616,31,,11,8,,0,0,0,1
1602859454190,10,1010123456005,72,,1,2,2,1,1,,16.6667,15,0,0.015904,6,0,9.6,,0,0,0,0,0,0,0,0,0,,8,12,,0,0,0,0
1602859454440,10,1010123456005,72,,1,2,2,1,1,,18.3846,13,57,0.01392,5,0,11,,0,0,0,0,0,0,0,0,0,,15,10,,0,0,0,0
1602859454690,10,1010123456005,72,,1,2,2,1,1,,16.625,8,0,0.007264,3,0,11,,0,0,0,0,0,0,0,0,0,,10,6,,0,0,0,0
1602859454940,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,9.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859455190,10,1010123456005,72,,1,2,2,1,1,,11.3684,19,0,0.011072,7,0,10.1667,,2.2,25,0,0.1,10,0,0,6.20773,31,,35,14,,0,0,0,1
1602859455440,10,1010123456005,72,,1,2,2,1,1,,0,10,6,0.010624,4,0,11.5,,0,0,0,0,0,0,0,0,0,,9,10,,0,0,0,0
1602859455690,10,1010123456005,72,,1,2,2,1,1,,11.375,8,158,0.010624,4,0,11,,0,0,0,0,0,0,0,0,0,,3,6,,0,0,0,0
1602859455940,10,1010123456005,72,,1,2,2,1,1,,16.5882,17,0,0.015936,6,0,10.2,,0.25,16,0,0.1,7,0,0,6.83503,31,,10,12,,0,0,0,1
1602859456190,10,1010123456005,72,,1,2,2,1,1,,17.64,25,0,0.021248,8,0,11,,0,0,0,0,0,0,0,0,0,,37,20,,0,0,0,0
1602859456440,10,1010123456005,72,,1,2,2,1,1,,17.5,6,0,0.010624,4,0,6,,0,0,0,0,0,0,0,0,0,,2,4,,0,0,0,0
1602859456690,10,1010123456005,72,,1,2,2,1,1,,18.2,5,0,0.005312,2,0,9.6,,0,0,0,0,0,0,0,0,0,,4,4,,0,0,0,0
1602859456940,10,1010123456005,72,,1,2,2,1,1,,16.8,5,0,0.005312,2,0,11,,6.08333,24,0,0.1,10,0,0,8.40521,31,,2,4,,0,0,0,1.20833
1602859457190,10,1010123456005,72,,1,2,2,1,1,,17.5,12,0,0.010624,4,0,8.4,,0,0,0,0,0,0,0,0,0,,11,8,,0,0,0,0
1602859457440,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,6.8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859457690,10,1010123456005,72,,1,2,2,1,1,,11,30,0,0.016608,11,0,9.6,,0,0,0,0,0,0,0,0,0,,39,24,,0,0,0,0
1602859457940,10,1010123456005,72,,1,2,2,1,1,,17.75,20,0,0.021248,8,0,10.6667,,2.54545,11,0,0.1,4,0,0,7.33142,31,,31,16,,0,0,0,1
1602859458190,10,1010123456005,72,,1,2,2,1,1,,15.9,10,0,0.01056,4,0,9.25,,0,0,0,0,0,0,0,0,0,,13,10,,0,0,0,0
1602859458440,10,1010123456005,72,,1,2,2,1,1,,17.1111,9,0,0.010624,4,0,11,,0,0,0,0,0,0,0,0,0,,15,8,,0,0,0,0
1602859458690,10,1010123456005,72,,1,2,2,1,1,,9.41667,12,158,0.00576,5,0,7.8,,0,0,0,0,0,0,0,0,0,,46,50,,0,0,0,0
1602859458940,10,1010123456005,72,,1,2,2,1,1,,19.5294,17,0,0.021024,7,0,11,,1.90476,21,0,0.1,8,0,0,7.8521,31,,145,144,,0,0,0,1
1602859459190,10,1010123456005,72,,1,2,2,1,1,,18.2,5,0,0.005312,2,0,9.25,,0,0,0,0,0,0,0,0,0,,2,4,,0,0,0,0
1602859459440,10,1010123456005,72,,1,2,2,1,1,,18.1,10,0,0.010624,4,0,8.25,,0,0,0,0,0,0,0,0,0,,9,8,,0,0,0,0
1602859459690,10,1010123456005,72,,1,2,2,1,1,,18.2,10,0,0.010624,4,0,10,,0,0,0,0,0,0,0,0,0,,6,8,,0,0,0,0
1602859459940,10,1010123456005,72,,1,2,2,1,1,,16.8,5,0,0.005312,2,0,11,,1.37037,27,0,0.1,10,0,0,7.01224,31,,2,4,,0,0,0,1.11111
1602859460190,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,11,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859460440,10,1010123456005,72,,1,2,2,1,1,,17.5,10,0,0.005312,2,0,11,,0,0,0,0,0,0,0,0,0,,5,8,,0,0,0,0
1602859460690,10,1010123456005,72,,1,2,2,1,1,,17.5455,22,0,0.026496,10,0,11,,0,0,0,0,0,0,0,0,0,,15,16,,0,0,0,0
1602859460940,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,11.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859461190,10,1010123456005,72,,1,2,2,1,1,,17.5714,14,0,0.015872,6,0,10.8333,,0.5,16,0,0.1,7,0,0,5.04104,31,,7,12,,0,0,0,1
1602859461440,10,1010123456005,72,,1,2,2,1,1,,14.6,15,0,0.015872,6,0,10.5,,0,0,0,0,0,0,0,0,0,,13,12,,0,0,0,0
1602859461690,10,1010123456005,72,,1,2,2,1,1,,17.1905,21,0,0.021248,8,0,9.25,,0,0,0,0,0,0,0,0,0,,13,16,,0,0,0,0
1602859461940,10,1010123456005,72,,1,2,2,1,1,,17.5,10,0,0.010624,4,0,8.5,,0.571429,21,0,0.1,8,0,0,6.67502,31,,52,62,,0,0,0,1
1602859462190,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,9.4,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859462440,10,1010123456005,72,,1,2,2,1,1,,17.4375,16,0,0.015936,6,0,11.6667,,0,0,0,0,0,0,0,0,0,,9,12,,0,0,0,0
1602859462690,10,1010123456005,72,,1,2,2,1,1,,12.0526,19,0,0.011072,7,0,4.6,,0,0,0,0,0,0,0,0,0,,16,14,,0,0,0,0
1602859462940,10,1010123456005,72,,1,2,2,1,1,,18,9,0,0.010624,4,0,11.6,,1.375,16,0,0.1,6,0,0,7.60524,31,,10,8,,0,0,0,1
1602859463190,10,1010123456005,72,,1,2,2,1,1,,17.7143,21,0,0.021248,8,0,11,,0,0,0,0,0,0,0,0,0,,9,16,,0,0,0,0
1602859463440,10,1010123456005,72,,1,2,2,1,1,,13.2222,27,0,0.021536,11,0,9.5,,0,0,0,0,0,0,0,0,0,,21,22,,0,0,0,0
1602859463690,10,1010123456005,72,,1,2,2,1,1,,17.6,10,0,0.010624,4,0,9,,0,0,0,0,0,0,0,0,0,,12,8,,0,0,0,0
1602859463940,10,1010123456005,72,,1,2,2,1,1,,17.5,16,0,0.015936,6,0,11,,4,10,0,0.1,4,0,0,8.25176,31,,17,12,,0,0,0,1
1602859464190,10,1010123456005,72,,1,2,2,1,1,,16.3,10,0,0.010528,4,0,9.5,,0,0,0,0,0,0,0,0,0,,7,8,,0,0,0,0
1602859464440,10,1010123456005,72,,1,2,2,1,1,,17,5,0,0.005312,2,0,9.33333,,0,0,0,0,0,0,0,0,0,,5,4,,0,0,0,0
1602859464690,10,1010123456005,72,,1,2,2,1,1,,3.91667,72,0,0.013728,29,0,9.25,,0,0,0,0,0,0,0,0,0,,53,60,,0,0,0,0
1602859464940,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,7.66667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859465190,10,1010123456005,72,,1,2,2,1,1,,21,3,214,0,0,0,11,,0,0,0,0,0,0,0,0,0,,2,2,,0,0,0,0
1602859465440,10,1010123456005,72,,1,2,2,1,1,,15.4737,19,0,0.021248,8,0,11.6667,,2.5,12,0,0.1,5,0,0,7.51687,31,,24,14,,0,0,0,1.25
1602859465690,10,1010123456005,72,,1,2,2,1,1,,18.1333,15,0,0.015936,6,0,11,,0,0,0,0,0,0,0,0,0,,8,12,,0,0,0,0
1602859465940,10,1010123456005,72,,1,2,2,1,1,,17.8182,11,0,0.010624,4,0,10.2857,,2.55,20,0,0.1,8,0,0,7.72163,31,,8,8,,0,0,0,1
1602859466190,10,1010123456005,72,,1,2,2,1,1,,16.7391,23,0,0.02656,10,0,11,,0,0,0,0,0,0,0,0,0,,20,20,,0,0,0,0
1602859466440,10,1010123456005,72,,1,2,2,1,1,,17.5,16,0,0.015936,6,0,11,,0,0,0,0,0,0,0,0,0,,13,12,,0,0,0,0
1602859466690,10,1010123456005,72,,1,2,2,1,1,,18,14,0,0.015936,6,0,11,,0,0,0,0,0,0,0,0,0,,20,12,,0,0,0,0
1602859466940,10,1010123456005,72,,1,2,2,1,1,,17.8182,11,0,0.010624,4,0,10.8333,,1.78571,14,0,0.1,6,0,0,7.50078,31,,11,8,,0,0,0,1
1602859467190,10,1010123456005,72,,1,2,2,1,1,,18.5294,17,57,0.015936,6,0,11,,0,0,0,0,0,0,0,0,0,,13,14,,0,0,0,0
1602859467440,10,1010123456005,72,,1,2,2,1,1,,17,14,0,0.015936,6,0,9.25,,0,0,0,0,0,0,0,0,0,,15,10,,0,0,0,0
1602859467690,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,11,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859467940,10,1010123456005,72,,1,2,2,1,1,,17.5,10,0,0.010624,4,0,9.2,,0.625,16,0,0.1,7,0,0,6.89301,31,,82,76,,0,0,0,1
1602859468190,10,1010123456005,72,,1,2,2,1,1,,16.8,5,0,0.005312,2,0,11.1667,,0,0,0,0,0,0,0,0,0,,2,4,,0,0,0,0
1602859468440,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,12,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859468690,10,1010123456005,72,,1,2,2,1,1,,17.7308,26,0,0.02656,10,0,9.16667,,0.1,3,0,0.1,1,0,0,15.2673,31,,21,20,,0,0,0,1
1602859468940,10,1010123456005,72,,1,2,2,1,1,,14.8108,37,0,0.031648,14,0,10,,4.5,8,0,0.1,4,0,0,7.21146,31,,25,30,,0,0,0,2
1602859469190,10,1010123456005,72,,1,2,2,1,1,,17.8333,18,0,0.016416,7,0,11,,0,0,0,0,0,0,0,0,0,,18,12,,0,0,0,0
1602859469440,10,1010123456005,72,,1,2,2,1,1,,18.2,5,0,0.005312,2,0,11,,0,0,0,0,0,0,0,0,0,,2,4,,0,0,0,0
1602859469690,10,1010123456005,72,,1,2,2,1,1,,17.1538,26,0,0.026496,10,0,11,,0,0,0,0,0,0,0,0,0,,20,20,,0,0,0,0
1602859469940,10,1010123456005,72,,1,2,2,1,1,,7.64583,48,0,0.0176,18,0,9.83333,,0.190476,21,0,0.1,9,0,0,6.34155,31,,50,54,,0,0,0,1
1602859470190,10,1010123456005,72,,1,2,2,1,1,,14.8,10,0,0.016096,7,0,10.1667,,0,0,0,0,0,0,0,0,0,,27,10,,0,0,0,0
1602859470440,10,1010123456005,72,,1,2,2,1,1,,19.5789,19,0,0.021792,7,0,11,,0,0,0,0,0,0,0,0,0,,35,14,,0,0,0,0
1602859470690,10,1010123456005,72,,1,2,2,1,1,,17.5,22,0,0.015936,6,0,11,,0,0,0,0,0,0,0,0,0,,16,16,,0,0,0,0
1602859470940,10,1010123456005,72,,1,2,2,1,1,,19.3158,19,0,0.026336,9,0,11,,4.2963,27,0,0.1,11,0,0,7.39604,31,,18,14,,0,0,0,1
1602859471190,10,1010123456005,72,,1,2,2,1,1,,17.5,28,0,0.02656,10,0,11,,0,0,0,0,0,0,0,0,0,,20,20,,0,0,0,0
1602859471440,10,1010123456005,72,,1,2,2,1,1,,18.0588,17,0,0.021248,8,0,9,,0,0,0,0,0,0,0,0,0,,80,56,,0,0,0,0
1602859471690,10,1010123456005,72,,1,2,2,1,1,,18.2,5,0,0.005312,2,0,12.4,,0,0,0,0,0,0,0,0,0,,3,4,,0,0,0,0
1602859471940,10,1010123456005,72,,1,2,2,1,1,,5.38095,42,0,0.012256,17,0,9.6,,0.761905,21,0,0.1,8,0,0,8.21672,31,,48,36,,0,0,0,1
1602859472190,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,9.66667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859472440,10,1010123456005,72,,1,2,2,1,1,,18.4,5,0,0.005312,2,0,8.8,,0,0,0,0,0,0,0,0,0,,7,4,,0,0,0,0
1602859472690,10,1010123456005,72,,1,2,2,1,1,,0,0,0,0,0,0,11,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1602859472940,10,1010123456005,72,,1,2,2,1,1,,10.9143,35,0,0.022016,14,0,10,,1.125,16,0,0.1,7,0,0,6.92292,31,,52,28,,0,0,0,1
1602859473190,10,1010123456005,72,,1,2,2,1,1,,17.3333,15,0,0.015936,6,0,10.6667,,0,0,0,0,0,0,0,0,0,,23,12,,0,0,0,0
1602859473440,10,1010123456005,72,,1,2,2,1,1,,15.4444,18,0,0.016,7,0,9.5,,0,0,0,0,0,0,0,0,0,,30,14,,0,0,0,0
1602859473690,10,1010123456005,72,,1,2,2,1,1,,18.2,10,0,0.010624,4,0,11,,0,0,0,0,0,0,0,0,0,,13,8,,0,0,0,0
